id,gene_id,gene_name,KO
10_32,K11888,protein Cut8,K11888
10_33,10_33,,none
10_34,K00772,5'-methylthioadenosine phosphorylase [EC:2.4.2.28],K00772
10_35,10_35,,none
10_36,10_36,,none
10_37,K19189,"2,6-dihydroxypyridine 3-monooxygenase [EC:1.14.13.10]",K19189
10_38,K03298,"drug/metabolite transporter, DME family",K03298
10_39,K08693,"2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase / 5'-nucleotidase [EC:3.1.4.16 3.1.3.6 3.1.3.5]",K08693
10_4,K01883,cysteinyl-tRNA synthetase [EC:6.1.1.16],K01883
10_40,K00754,L-malate glycosyltransferase [EC:2.4.1.-],K00754
10_41,K00996,undecaprenyl-phosphate galactose phosphotransferase [EC:2.7.8.6],K00996
10_42,K01711,"GDPmannose 4,6-dehydratase [EC:4.2.1.47]",K01711
10_43,K02377,GDP-L-fucose synthase [EC:1.1.1.271],K02377
10_44,K22314,glucosinolate gamma-glutamyl hydrolase [EC:3.4.19.16],K22314
10_45,K15825,juvenile hormone diol kinase,K15825
10_46,K03798,cell division protease FtsH [EC:3.4.24.-],K03798
10_47,K08884,"serine/threonine protein kinase, bacterial [EC:2.7.11.1]",K08884
10_48,K21141,autophagy-related protein 27,K21141
10_49,K09561,STIP1 homology and U-box containing protein 1 [EC:2.3.2.27],K09561
10_5,K06118,UDP-sulfoquinovose synthase [EC:3.13.1.1],K06118
10_50,10_50,,none
10_51,K02501,imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10],K02501
10_52,10_52,,none
10_53,K07496,putative transposase,K07496
10_54,K07491,putative transposase,K07491
10_55,K07496,putative transposase,K07496
10_56,K07496,putative transposase,K07496
10_57,K01127,glycosylphosphatidylinositol phospholipase D [EC:3.1.4.50],K01127
10_58,K17589,RB1-inducible coiled-coil protein 1,K17589
10_59,10_59,,none
10_6,K22191,membrane-spanning 4-domains subfamily A member 5/6/7,K22191
10_60,K01127,glycosylphosphatidylinositol phospholipase D [EC:3.1.4.50],K01127
10_61,10_61,,none
10_62,10_62,,none
10_63,K02099,"AraC family transcriptional regulator, arabinose operon regulatory protein",K02099
10_64,K01127,glycosylphosphatidylinositol phospholipase D [EC:3.1.4.50],K01127
10_65,10_65,,none
10_66,10_66,,none
10_67,K01127,glycosylphosphatidylinositol phospholipase D [EC:3.1.4.50],K01127
10_68,K06871,uncharacterized protein,K06871
10_69,K12741,heterogeneous nuclear ribonucleoprotein A1/A3,K12741
10_7,10_7,,none
10_70,K03948,NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 4,K03948
10_71,K06872,uncharacterized protein,K06872
10_72,K10001,glutamate/aspartate transport system substrate-binding protein,K10001
10_73,K00606,3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11],K00606
10_74,K03428,magnesium-protoporphyrin O-methyltransferase [EC:2.1.1.11],K03428
10_75,K20074,PPM family protein phosphatase [EC:3.1.3.16],K20074
10_76,K07496,putative transposase,K07496
10_77,K07450,putative resolvase,K07450
10_78,K20074,PPM family protein phosphatase [EC:3.1.3.16],K20074
10_79,K03688,ubiquinone biosynthesis protein,K03688
10_8,K00754,L-malate glycosyltransferase [EC:2.4.1.-],K00754
10_80,K16536,protein HOOK3,K16536
10_81,10_81,,none
10_82,K00218,protochlorophyllide reductase [EC:1.3.1.33],K00218
10_83,10_83,,none
10_84,10_84,,none
10_85,K07326,hemolysin activation/secretion protein,K07326
10_86,K02227,adenosylcobinamide-phosphate synthase [EC:6.3.1.10],K02227
10_87,K09454,"GA-binding protein transcription factor, beta",K09454
10_88,10_88,,none
10_89,K13010,perosamine synthetase [EC:2.6.1.102],K13010
10_9,K09251,putrescine aminotransferase [EC:2.6.1.82],K09251
10_90,K02428,XTP/dITP diphosphohydrolase [EC:3.6.1.66],K02428
10_91,K04034,anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase [EC:1.21.98.3],K04034
100_1,K13525,transitional endoplasmic reticulum ATPase,K13525
100_2,100_2,,none
100_3,100_3,,none
100_4,100_4,,none
100_5,100_5,,none
100_6,K01949,glutamate---methylamine ligase [EC:6.3.4.12],K01949
102_1,K07319,adenine-specific DNA-methyltransferase [EC:2.1.1.72],K07319
102_2,102_2,,none
103_1,103_1,,none
103_2,K07064,uncharacterized protein,K07064
103_3,K03553,recombination protein RecA,K03553
103_4,K02224,"cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]",K02224
103_5,K11532,"fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]",K11532
103_6,K00954,pantetheine-phosphate adenylyltransferase [EC:2.7.7.3],K00954
103_7,K21495,antitoxin FitA,K21495
103_8,K18828,tRNA(fMet)-specific endonuclease VapC [EC:3.1.-.-],K18828
104_1,K04417,mitogen-activated protein kinase kinase kinase 9 [EC:2.7.11.25],K04417
104_2,K06030,mitofusin 2 [EC:3.6.5.-],K06030
104_3,K06030,mitofusin 2 [EC:3.6.5.-],K06030
104_4,K04212,neurotensin receptor 2,K04212
104_5,K03727,ATP-dependent RNA helicase HelY [EC:3.6.4.-],K03727
104_6,K03087,RNA polymerase nonessential primary-like sigma factor,K03087
105_1,105_1,,none
105_10,K06921,uncharacterized protein,K06921
105_11,K04373,ribosomal protein S6 kinase alpha-1/2/3/6 [EC:2.7.11.1],K04373
105_12,105_12,,none
105_13,K13056,CCCH zinc finger protein C3H-4,K13056
105_14,K02099,"AraC family transcriptional regulator, arabinose operon regulatory protein",K02099
105_15,K08884,"serine/threonine protein kinase, bacterial [EC:2.7.11.1]",K08884
105_16,K18918,"RHH-type transcriptional regulator, rel operon repressor / antitoxin RelB",K18918
105_17,K03320,"ammonium transporter, Amt family",K03320
105_18,K04763,integrase/recombinase XerD,K04763
105_19,K21495,antitoxin FitA,K21495
105_2,105_2,,none
105_20,K07063,uncharacterized protein,K07063
105_21,K22804,structural maintenance of chromosomes protein 6,K22804
105_22,K12149,DNA-damage-inducible protein I,K12149
105_23,105_23,,none
105_24,K07450,putative resolvase,K07450
105_25,K23122,staphylopine dehydrogenase [EC:1.5.1.52],K23122
105_26,K07481,"transposase, IS5 family",K07481
105_27,K07481,"transposase, IS5 family",K07481
105_28,K07496,putative transposase,K07496
105_29,K02316,DNA primase [EC:2.7.7.101],K02316
105_3,K20478,golgin subfamily B member 1,K20478
105_30,K07341,death on curing protein,K07341
105_31,K07172,antitoxin MazE,K07172
105_32,105_32,,none
105_33,105_33,,none
105_4,105_4,,none
105_5,K02022,HlyD family secretion protein,K02022
105_6,K20344,"ATP-binding cassette, subfamily C, bacteriocin exporter",K20344
105_7,105_7,,none
105_8,105_8,,none
105_9,105_9,,none
106_1,106_1,,none
106_10,K07481,"transposase, IS5 family",K07481
106_11,K16710,colanic acid/amylovoran biosynthesis protein,K16710
106_12,K09563,peptidyl-prolyl isomerase C (cyclophilin C) [EC:5.2.1.8],K09563
106_13,K08714,voltage-gated sodium channel,K08714
106_14,106_14,,none
106_15,K07496,putative transposase,K07496
106_16,K01768,adenylate cyclase [EC:4.6.1.1],K01768
106_17,K10302,F-box protein 22,K10302
106_18,106_18,,none
106_19,K04652,hydrogenase nickel incorporation protein HypB,K04652
106_2,106_2,,none
106_20,K04651,hydrogenase nickel incorporation protein HypA/HybF,K04651
106_21,K00986,RNA-directed DNA polymerase [EC:2.7.7.49],K00986
106_22,K02437,glycine cleavage system H protein,K02437
106_23,106_23,,none
106_24,K07145,heme oxygenase (staphylobilin-producing) [EC:1.14.99.48],K07145
106_25,K07184,SH3 domain protein,K07184
106_26,WP_124978243.1,"L,D-transpeptidase",none
106_27,K19462,EBV trans-activator protein BZLF1,K19462
106_28,K13993,HSP20 family protein,K13993
106_29,106_29,,none
106_3,K06876,deoxyribodipyrimidine photolyase-related protein,K06876
106_30,K01207,beta-N-acetylhexosaminidase [EC:3.2.1.52],K01207
106_31,K02834,ribosome-binding factor A,K02834
106_32,106_32,,none
106_33,K00588,caffeoyl-CoA O-methyltransferase [EC:2.1.1.104],K00588
106_34,K03154,sulfur carrier protein,K03154
106_35,K00788,thiamine-phosphate pyrophosphorylase [EC:2.5.1.3],K00788
106_36,K00616,transaldolase [EC:2.2.1.2],K00616
106_37,K21008,polysaccharide biosynthesis protein PelC,K21008
106_38,K02496,uroporphyrin-III C-methyltransferase [EC:2.1.1.107],K02496
106_39,106_39,,none
106_4,K02097,phycobilisome core component,K02097
106_40,106_40,,none
106_41,K02945,small subunit ribosomal protein S1,K02945
106_42,K06925,tRNA threonylcarbamoyladenosine biosynthesis protein TsaE,K06925
106_43,106_43,,none
106_44,K07300,Ca2+:H+ antiporter,K07300
106_45,K02006,cobalt/nickel transport system ATP-binding protein,K02006
106_46,106_46,,none
106_47,K06980,tRNA-modifying protein YgfZ,K06980
106_48,106_48,,none
106_49,K00356,NADH dehydrogenase [EC:1.6.99.3],K00356
106_5,K00992,N-acetyl-alpha-D-muramate 1-phosphate uridylyltransferase [EC:2.7.7.99],K00992
106_50,K00858,NAD+ kinase [EC:2.7.1.23],K00858
106_51,K17195,D-allulose-6-phosphate 3-epimerase [EC:5.1.3.-],K17195
106_52,K07171,mRNA interferase MazF [EC:3.1.-.-],K07171
106_53,K19366,spartin,K19366
106_54,K10712,cysteamine dioxygenase [EC:1.13.11.19],K10712
106_55,K21970,5-methylcytosine rRNA methyltransferase NSUN4 [EC:2.1.1.-],K21970
106_56,K10947,"PadR family transcriptional regulator, regulatory protein PadR",K10947
106_57,K07192,flotillin,K07192
106_58,106_58,,none
106_59,106_59,,none
106_6,K13195,cold-inducible RNA-binding protein,K13195
106_60,K03183,"demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]",K03183
106_61,K03789,[ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266],K03789
106_62,K22278,peptidoglycan-N-acetylglucosamine deacetylase [EC:3.5.1.104],K22278
106_63,HAC66035.1,TPA: thioredoxin family protein,none
106_64,K05516,curved DNA-binding protein,K05516
106_65,106_65,,none
106_66,K11016,hemolysin,K11016
106_67,K13643,"Rrf2 family transcriptional regulator, iron-sulfur cluster assembly transcription factor",K13643
106_68,K02227,adenosylcobinamide-phosphate synthase [EC:6.3.1.10],K02227
106_69,K10421,CAP-Gly domain-containing linker protein 1,K10421
106_7,K03695,ATP-dependent Clp protease ATP-binding subunit ClpB,K03695
106_70,K02657,twitching motility two-component system response regulator PilG,K02657
106_71,K02658,twitching motility two-component system response regulator PilH,K02658
106_72,K02659,twitching motility protein PilI,K02659
106_73,K02660,twitching motility protein PilJ,K02660
106_74,106_74,,none
106_75,K21919,BTB/POZ domain-containing protein KCTD9,K21919
106_8,106_8,,none
106_9,106_9,,none
107_1,K06999,phospholipase/carboxylesterase,K06999
107_10,K00278,L-aspartate oxidase [EC:1.4.3.16],K00278
107_11,K05384,bilin biosynthesis protein,K05384
107_12,107_12,,none
107_13,K04567,"lysyl-tRNA synthetase, class II [EC:6.1.1.6]",K04567
107_14,K05714,"2-hydroxy-6-oxonona-2,4-dienedioate hydrolase [EC:3.7.1.14]",K05714
107_15,K03327,"multidrug resistance protein, MATE family",K03327
107_16,K22705,hopanoid C-2 methylase [EC:2.1.1.-],K22705
107_17,K05793,tellurite resistance protein TerB,K05793
107_18,K00655,1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51],K00655
107_19,K00721,dolichol-phosphate mannosyltransferase [EC:2.4.1.83],K00721
107_2,K02471,vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein,K02471
107_20,K08156,"MFS transporter, DHA1 family, arabinose polymer utilization protein",K08156
107_21,K08360,cytochrome b-561 [EC:7.2.1.3],K08360
107_22,K00791,tRNA dimethylallyltransferase [EC:2.5.1.75],K00791
107_23,K03087,RNA polymerase nonessential primary-like sigma factor,K03087
107_24,K15315,enediyne core biosynthesis thioesterase,K15315
107_25,K07090,uncharacterized protein,K07090
107_26,K02004,putative ABC transport system permease protein,K02004
107_27,K02005,HlyD family secretion protein,K02005
107_28,107_28,,none
107_29,K21161,enediyne biosynthesis protein E3,K21161
107_3,K03808,paraquat-inducible protein A,K03808
107_4,107_4,,none
107_5,K07496,putative transposase,K07496
107_6,K20074,PPM family protein phosphatase [EC:3.1.3.16],K20074
107_7,K21919,BTB/POZ domain-containing protein KCTD9,K21919
107_8,K07494,putative transposase,K07494
107_9,K07499,putative transposase,K07499
108_1,K13444,formylglycine-generating enzyme [EC:1.8.3.7],K13444
108_10,108_10,,none
108_11,108_11,,none
108_2,K07496,putative transposase,K07496
108_3,NEQ70149.1,hypothetical protein F6K21_32590,none
108_4,K00975,glucose-1-phosphate adenylyltransferase [EC:2.7.7.27],K00975
108_5,K21064,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104],K21064
108_6,K02689,photosystem I P700 chlorophyll a apoprotein A1,K02689
108_7,K02690,photosystem I P700 chlorophyll a apoprotein A2,K02690
108_8,K06559,lymphocyte antigen 75,K06559
108_9,K07452,5-methylcytosine-specific restriction enzyme B [EC:3.1.21.-],K07452
109_1,K07317,adenine-specific DNA-methyltransferase [EC:2.1.1.72],K07317
109_10,109_10,,none
109_11,K07038,inner membrane protein,K07038
109_12,K02450,general secretion pathway protein A,K02450
109_2,K03496,chromosome partitioning protein,K03496
109_3,K03497,"ParB family transcriptional regulator, chromosome partitioning protein",K03497
109_4,CCQ69917.1,Long-chain-fatty-acid--CoA ligase,none
109_5,K23222,nuclease HARBI1 [EC:3.1.-.-],K23222
109_6,K10536,agmatine deiminase [EC:3.5.3.12],K10536
109_7,109_7,,none
109_8,109_8,,none
109_9,109_9,,none
11_1,11_1,,none
11_10,11_10,,none
11_11,11_11,,none
11_12,11_12,,none
11_13,K02402,flagellar transcriptional activator FlhC,K02402
11_14,K11933,NADH oxidoreductase Hcr [EC:1.-.-.-],K11933
11_15,K07172,antitoxin MazE,K07172
11_16,K19789,DNA repair protein RadD,K19789
11_17,K18959,ATP-dependent DNA helicase UvsW [EC:3.6.4.12],K18959
11_18,K07451,5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-],K07451
11_19,11_19,,none
11_2,11_2,,none
11_20,11_20,,none
11_21,K01144,exodeoxyribonuclease V [EC:3.1.11.5],K01144
11_22,11_22,,none
11_23,11_23,,none
11_24,K18918,"RHH-type transcriptional regulator, rel operon repressor / antitoxin RelB",K18918
11_25,11_25,,none
11_3,K03111,single-strand DNA-binding protein,K03111
11_4,K18843,antitoxin HicB,K18843
11_5,K14952,UDP-MurNAc hydroxylase,K14952
11_6,K18831,HTH-type transcriptional regulator / antitoxin HigA,K18831
11_7,K19166,mRNA interferase HigB [EC:3.1.-.-],K19166
11_8,11_8,,none
11_9,11_9,,none
110_1,110_1,,none
110_10,K11525,methyl-accepting chemotaxis protein PixJ,K11525
110_11,K11524,positive phototaxis protein PixI,K11524
110_12,K11523,"two-component system, chemotaxis family, response regulator PixH",K11523
110_13,K11522,"two-component system, chemotaxis family, response regulator PixG",K11522
110_14,110_14,,none
110_15,K03548,putative permease,K03548
110_16,K01303,acylaminoacyl-peptidase [EC:3.4.19.1],K01303
110_17,K01921,D-alanine-D-alanine ligase [EC:6.3.2.4],K01921
110_18,K09560,suppressor of tumorigenicity protein 13,K09560
110_19,K19804,lipopolysaccharide assembly protein B,K19804
110_2,K11330,"two-component system, OmpR family, Ni(II)-responsive and/or redox-responsive regulator NrsR",K11330
110_20,110_20,,none
110_21,K23424,protein O-mannosyl-transferase [EC:2.4.1.-],K23424
110_22,K00996,undecaprenyl-phosphate galactose phosphotransferase [EC:2.7.8.6],K00996
110_23,110_23,,none
110_24,K06402,stage IV sporulation protein FB [EC:3.4.24.-],K06402
110_25,K01975,"RNA 2',3'-cyclic 3'-phosphodiesterase [EC:3.1.4.58]",K01975
110_26,K14415,tRNA-splicing ligase RtcB (3'-phosphate/5'-hydroxy nucleic acid ligase) [EC:6.5.1.8],K14415
110_27,K10804,acyl-CoA thioesterase I [EC:3.1.2.- 3.1.2.2 3.1.1.2 3.1.1.5],K10804
110_28,110_28,,none
110_29,K23222,nuclease HARBI1 [EC:3.1.-.-],K23222
110_3,K02836,peptide chain release factor 2,K02836
110_30,110_30,,none
110_31,K21348,calcium-binding and coiled-coil domain-containing protein 2,K21348
110_32,110_32,,none
110_33,K19007,lysophosphatidiate acyltransferase [EC:2.3.1.51],K19007
110_34,K14444,"solute carrier family 13 (sodium/sulfate cotransporter), member 1/4",K14444
110_35,K01893,asparaginyl-tRNA synthetase [EC:6.1.1.22],K01893
110_36,K01822,steroid Delta-isomerase [EC:5.3.3.1],K01822
110_37,110_37,,none
110_38,K03119,taurine dioxygenase [EC:1.14.11.17],K03119
110_39,K09167,uncharacterized protein,K09167
110_4,K01991,polysaccharide biosynthesis/export protein,K01991
110_40,K00099,1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267],K00099
110_41,K00764,amidophosphoribosyltransferase [EC:2.4.2.14],K00764
110_42,K09122,uncharacterized protein,K09122
110_43,K19223,peptidoglycan DL-endopeptidase LytF [EC:3.4.-.-],K19223
110_44,110_44,,none
110_45,K23269,phosphoribosylformylglycinamidine synthase subunit PurL [EC:6.3.5.3],K23269
110_5,K03408,purine-binding chemotaxis protein CheW,K03408
110_6,K11526,"two-component system, chemotaxis family, sensor histidine kinase and response regulator PixL",K11526
110_7,K11526,"two-component system, chemotaxis family, sensor histidine kinase and response regulator PixL",K11526
110_8,K11525,methyl-accepting chemotaxis protein PixJ,K11525
110_9,K02569,cytochrome c-type protein NapC,K02569
111_1,K04771,serine protease Do [EC:3.4.21.107],K04771
111_2,K11913,type VI secretion system protein,K11913
112_1,K07496,putative transposase,K07496
112_10,K00986,RNA-directed DNA polymerase [EC:2.7.7.49],K00986
112_11,112_11,,none
112_12,112_12,,none
112_13,112_13,,none
112_14,WP_057843095.1,calcium-binding protein,none
112_15,K01465,dihydroorotase [EC:3.5.2.3],K01465
112_16,K06402,stage IV sporulation protein FB [EC:3.4.24.-],K06402
112_17,K01069,hydroxyacylglutathione hydrolase [EC:3.1.2.6],K01069
112_18,112_18,,none
112_19,WP_002783652.1,ferredoxin-thioredoxin reductase variable chain,none
112_2,K07224,iron uptake system component EfeO,K07224
112_20,K20478,golgin subfamily B member 1,K20478
112_21,K01953,asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4],K01953
112_22,K23075,glutathione amide-dependent peroxidase [EC:1.11.1.17],K23075
112_23,K09825,"Fur family transcriptional regulator, peroxide stress response regulator",K09825
112_24,K11005,hemolysin A,K11005
112_25,K00941,hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7],K00941
112_26,K00996,undecaprenyl-phosphate galactose phosphotransferase [EC:2.7.8.6],K00996
112_27,K22477,N-acetylglutamate synthase [EC:2.3.1.1],K22477
112_28,K09144,uncharacterized protein,K09144
112_29,112_29,,none
112_3,K04758,ferrous iron transport protein A,K04758
112_30,K02297,cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3],K02297
112_31,112_31,,none
112_32,112_32,,none
112_33,112_33,,none
112_34,K06218,mRNA interferase RelE/StbE,K06218
112_35,K23424,protein O-mannosyl-transferase [EC:2.4.1.-],K23424
112_36,K11808,phosphoribosylaminoimidazole carboxylase [EC:4.1.1.21],K11808
112_37,K01443,N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25],K01443
112_38,K21919,BTB/POZ domain-containing protein KCTD9,K21919
112_39,K08194,"MFS transporter, ACS family, D-galactonate transporter",K08194
112_4,K07267,porin,K07267
112_40,K02293,15-cis-phytoene desaturase [EC:1.3.5.5],K02293
112_41,K05685,macrolide transport system ATP-binding/permease protein [EC:3.6.3.-],K05685
112_42,K19051,heparin/heparan-sulfate lyase [EC:4.2.2.7 4.2.2.8],K19051
112_43,K02003,putative ABC transport system ATP-binding protein,K02003
112_44,K12340,outer membrane protein,K12340
112_45,K09911,uncharacterized protein,K09911
112_46,K02005,HlyD family secretion protein,K02005
112_47,112_47,,none
112_48,112_48,,none
112_49,K09527,DnaJ homolog subfamily C member 7,K09527
112_5,K02012,iron(III) transport system substrate-binding protein,K02012
112_50,K01999,branched-chain amino acid transport system substrate-binding protein,K01999
112_51,K06921,uncharacterized protein,K06921
112_52,K06348,sporulation inhibitor KapD,K06348
112_53,K02172,bla regulator protein blaR1,K02172
112_54,K17803,"methyltransferase OMS1, mitochondrial [EC:2.1.1.-]",K17803
112_55,K01838,beta-phosphoglucomutase [EC:5.4.2.6],K01838
112_56,K07300,Ca2+:H+ antiporter,K07300
112_57,K09690,lipopolysaccharide transport system permease protein,K09690
112_58,K01885,glutamyl-tRNA synthetase [EC:6.1.1.17],K01885
112_59,112_59,,none
112_6,K04062,osmotically inducible lipoprotein OsmB,K04062
112_60,K02650,type IV pilus assembly protein PilA,K02650
112_7,K00761,uracil phosphoribosyltransferase [EC:2.4.2.9],K00761
112_8,K09667,protein O-GlcNAc transferase [EC:2.4.1.255],K09667
112_9,K13459,disease resistance protein RPS2,K13459
113_1,113_1,,none
113_10,113_10,,none
113_11,K02316,DNA primase [EC:2.7.7.101],K02316
113_12,K08700,carbon dioxide concentrating mechanism protein CcmO,K08700
113_13,K01595,phosphoenolpyruvate carboxylase [EC:4.1.1.31],K01595
113_14,K20469,putative heme transporter,K20469
113_15,K22553,4-methoxybenzoate monooxygenase (O-demethylating) [EC:1.14.99.15],K22553
113_16,K03091,RNA polymerase sporulation-specific sigma factor,K03091
113_17,K03972,phage shock protein E,K03972
113_18,113_18,,none
113_19,K04487,cysteine desulfurase [EC:2.8.1.7],K04487
113_2,K00718,galactoside 2-L-fucosyltransferase 1/2 [EC:2.4.1.69],K00718
113_3,K07494,putative transposase,K07494
113_4,K07499,putative transposase,K07499
113_5,113_5,,none
113_6,K23414,phenolphthiocerol/phthiocerol/phthiodiolone dimycocerosyl transferase [EC:2.3.1.282],K23414
113_7,K00713,"UDP-glucose:(glucosyl)LPS alpha-1,2-glucosyltransferase [EC:2.4.1.-]",K00713
113_8,113_8,,none
113_9,113_9,,none
114_1,K06030,mitofusin 2 [EC:3.6.5.-],K06030
114_10,K07481,"transposase, IS5 family",K07481
114_11,K07437,cytochrome P450 family 26 subfamily A,K07437
114_12,K00341,NADH-quinone oxidoreductase subunit L [EC:7.1.1.2],K00341
114_13,114_13,,none
114_14,K02033,peptide/nickel transport system permease protein,K02033
114_15,K00759,adenine phosphoribosyltransferase [EC:2.4.2.7],K00759
114_16,K00494,alkanal monooxygenase alpha chain [EC:1.14.14.3],K00494
114_17,114_17,,none
114_18,K18444,"two-component system, glycerol uptake and utilization response regulator",K18444
114_19,114_19,,none
114_2,114_2,,none
114_20,K05592,ATP-dependent RNA helicase DeaD [EC:3.6.4.13],K05592
114_21,K14441,ribosomal protein S12 methylthiotransferase [EC:2.8.4.4],K14441
114_22,K02662,type IV pilus assembly protein PilM,K02662
114_23,K02663,type IV pilus assembly protein PilN,K02663
114_24,K02664,type IV pilus assembly protein PilO,K02664
114_3,114_3,,none
114_4,114_4,,none
114_5,K07263,zinc protease [EC:3.4.24.-],K07263
114_6,114_6,,none
114_7,K07437,cytochrome P450 family 26 subfamily A,K07437
114_8,K07481,"transposase, IS5 family",K07481
114_9,K17433,large subunit ribosomal protein L52,K17433
115_1,K11356,"two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]",K11356
115_10,K07495,putative transposase,K07495
115_11,K07499,putative transposase,K07499
115_12,K07494,putative transposase,K07494
115_13,K03630,DNA repair protein RadC,K03630
115_14,K04763,integrase/recombinase XerD,K04763
115_15,K02528,16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182],K02528
115_16,K03292,"glycoside/pentoside/hexuronide:cation symporter, GPH family",K03292
115_17,K11956,neutral amino acid transport system permease protein,K11956
115_18,K02529,LacI family transcriptional regulator,K02529
115_19,K01082,"3'(2'), 5'-bisphosphate nucleotidase [EC:3.1.3.7]",K01082
115_2,115_2,,none
115_20,K00518,nickel superoxide dismutase [EC:1.15.1.1],K00518
115_21,K03100,signal peptidase I [EC:3.4.21.89],K03100
115_22,115_22,,none
115_3,115_3,,none
115_4,NEO53253.1,hypothetical protein F6K54_09290,none
115_5,K19294,alginate O-acetyltransferase complex protein AlgI,K19294
115_6,K00986,RNA-directed DNA polymerase [EC:2.7.7.49],K00986
115_7,K19294,alginate O-acetyltransferase complex protein AlgI,K19294
115_8,K03118,sec-independent protein translocase protein TatC,K03118
115_9,K05568,multicomponent Na+:H+ antiporter subunit D,K05568
116_1,K07658,"two-component system, OmpR family, alkaline phosphatase synthesis response regulator PhoP",K07658
116_2,K00700,"1,4-alpha-glucan branching enzyme [EC:2.4.1.18]",K00700
116_3,K13679,granule-bound starch synthase [EC:2.4.1.242],K13679
116_4,K01406,serralysin [EC:3.4.24.40],K01406
116_5,K00685,arginyl-tRNA---protein transferase [EC:2.3.2.8],K00685
116_6,116_6,,none
116_7,116_7,,none
116_8,K13420,LRR receptor-like serine/threonine-protein kinase FLS2 [EC:2.7.11.1],K13420
117_1,117_1,,none
117_10,K09772,cell division inhibitor SepF,K09772
117_11,K08884,"serine/threonine protein kinase, bacterial [EC:2.7.11.1]",K08884
117_12,K22221,HEAT repeat-containing taxis protein,K22221
117_13,117_13,,none
117_14,K01138,uncharacterized sulfatase [EC:3.1.6.-],K01138
117_15,117_15,,none
117_16,117_16,,none
117_17,117_17,,none
117_18,K01937,CTP synthase [EC:6.3.4.2],K01937
117_19,117_19,,none
