yourlist:M20210906A084FC58F6BBA219896F365D15F2EB441956986	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs
WP_012408115.1	A0A2L2N893	A0A2L2N893_9NOSO	unreviewed	Uncharacterized protein	NPM_3342	Nostoc sp. 'Peltigera membranacea cyanobiont' N6	103		
WP_012408115.1	A0A2R5FGR0	A0A2R5FGR0_NOSCO	unreviewed	Uncharacterized protein	NIES4072_14590	Nostoc commune NIES-4072	103		
WP_012408115.1	A0A6M0J538	A0A6M0J538_9NOSO	unreviewed	Uncharacterized protein	G1O98_23520	Nostoc sp. UIC 10630	103		
WP_012408115.1	A0A6N0LT11	A0A6N0LT11_9NOSO	unreviewed	Uncharacterized protein	FBB35_16955	Nostoc sp. TCL240-02	103		
WP_012408115.1	A0A6P1KVD6	A0A6P1KVD6_9NOSO	unreviewed	Uncharacterized protein	GJB62_27860	Nostoc sp. ATCC 53789	103		
WP_012408115.1	A0A7D7LD88	A0A7D7LD88_9NOSO	unreviewed	Uncharacterized protein	HUN01_15560	Nostoc edaphicum CCNP1411	103		
WP_012408115.1	B2IYK7	B2IYK7_NOSP7	unreviewed	Uncharacterized protein	Npun_F1386	Nostoc punctiforme (strain ATCC 29133 / PCC 73102)	103		
WP_016516790.1	S3J0Z5	S3J0Z5_MICAE	unreviewed	Putative NTPase (NACHT family)	MAESPC_04338	Microcystis aeruginosa SPC777	779	integral component of membrane [GO:0016021]	GO:0016021
WP_012593393.1	B7JYF7	B7JYF7_RIPO1	unreviewed	Chaperone protein ClpB	clpB PCC8801_0009	Rippkaea orientalis (strain PCC 8801) (Cyanothece sp. (strain PCC 8801))	888	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein refolding [GO:0042026]; response to heat [GO:0009408]	GO:0005524; GO:0005737; GO:0009408; GO:0016887; GO:0042026
WP_046279576.1	A0A0F5YEF8	A0A0F5YEF8_9CYAN	unreviewed	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	rpe WN50_16060 WN50_34440	Limnoraphis robusta CS-951	233	metal ion binding [GO:0046872]; ribulose-phosphate 3-epimerase activity [GO:0004750]; pentose catabolic process [GO:0019323]; pentose-phosphate shunt [GO:0006098]	GO:0004750; GO:0006098; GO:0019323; GO:0046872
WP_007304738.1	G5J2S7	G5J2S7_CROWT	unreviewed	Transcription antitermination protein NusB (Antitermination factor NusB)	nusB CWATWH0003_1810	Crocosphaera watsonii WH 0003	209	"RNA binding [GO:0003723]; DNA-templated transcription, termination [GO:0006353]; regulation of transcription, DNA-templated [GO:0006355]; transcription antitermination [GO:0031564]"	GO:0003723; GO:0006353; GO:0006355; GO:0031564
WP_007304738.1	Q4C5Z6	Q4C5Z6_CROWT	unreviewed	Transcription antitermination protein NusB (Antitermination factor NusB)	nusB CwatDRAFT_4742	Crocosphaera watsonii WH 8501	209	"RNA binding [GO:0003723]; DNA-templated transcription, termination [GO:0006353]; regulation of transcription, DNA-templated [GO:0006355]; transcription antitermination [GO:0031564]"	GO:0003723; GO:0006353; GO:0006355; GO:0031564
WP_007304738.1	T2IKS8	T2IKS8_CROWT	unreviewed	Transcription antitermination protein NusB (Antitermination factor NusB)	nusB CWATWH8502_1590	Crocosphaera watsonii WH 8502	209	"RNA binding [GO:0003723]; DNA-templated transcription, termination [GO:0006353]; regulation of transcription, DNA-templated [GO:0006355]; transcription antitermination [GO:0031564]"	GO:0003723; GO:0006353; GO:0006355; GO:0031564
WP_007304738.1	T2IPL6	T2IPL6_CROWT	unreviewed	Transcription antitermination protein NusB (Antitermination factor NusB)	nusB CWATWH0005_598	Crocosphaera watsonii WH 0005	209	"RNA binding [GO:0003723]; DNA-templated transcription, termination [GO:0006353]; regulation of transcription, DNA-templated [GO:0006355]; transcription antitermination [GO:0031564]"	GO:0003723; GO:0006353; GO:0006355; GO:0031564
WP_007304738.1	T2JSP0	T2JSP0_CROWT	unreviewed	Transcription antitermination protein NusB (Antitermination factor NusB)	nusB CWATWH0402_186	Crocosphaera watsonii WH 0402	209	"RNA binding [GO:0003723]; DNA-templated transcription, termination [GO:0006353]; regulation of transcription, DNA-templated [GO:0006355]; transcription antitermination [GO:0031564]"	GO:0003723; GO:0006353; GO:0006355; GO:0031564
WP_060832850.1	A0A0D6AVP1	A0A0D6AVP1_9CHRO	unreviewed	NAD(P)H-quinone oxidoreductase subunit N (EC 7.1.1.-) (NAD(P)H dehydrogenase I subunit N) (NDH-1 subunit N) (NDH-N)	ndhN GM3709_3284	Geminocystis sp. NIES-3709	159	"plasma membrane-derived thylakoid membrane [GO:0031676]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]; quinone binding [GO:0048038]"	GO:0016655; GO:0031676; GO:0048038
WP_002732356.1	B0JX58	PSBI_MICAN	reviewed	Photosystem II reaction center protein I (PSII-I) (PSII 4.4 kDa protein)	psbI MAE_51230	Microcystis aeruginosa (strain NIES-843)	38	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009539; GO:0015979; GO:0016021; GO:0031676
WP_002732356.1	A0A0A1VP76	A0A0A1VP76_MICAE	unreviewed	Photosystem II reaction center protein I (PSII-I) (PSII 4.4 kDa protein)	psbI N44_01518	Microcystis aeruginosa NIES-44	38	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009539; GO:0015979; GO:0016021; GO:0031676
WP_002732356.1	A0A0F6RLP1	A0A0F6RLP1_MICAE	unreviewed	Photosystem II reaction center protein I (PSII-I) (PSII 4.4 kDa protein)	psbI MYAER_2200	Microcystis aeruginosa NIES-2549	38	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009539; GO:0015979; GO:0016021; GO:0031676
WP_002732356.1	A0A0K1RY79	A0A0K1RY79_9CHRO	unreviewed	Photosystem II reaction center protein I (PSII-I) (PSII 4.4 kDa protein)	psbI VL20_1705	Microcystis panniformis FACHB-1757	38	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009539; GO:0015979; GO:0016021; GO:0031676
WP_002732356.1	A0A1E4Q7Y1	A0A1E4Q7Y1_MICAE	unreviewed	Photosystem II reaction center protein I (PSII-I) (PSII 4.4 kDa protein)	psbI BFG60_4925	Microcystis aeruginosa NIES-98	38	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009539; GO:0015979; GO:0016021; GO:0031676
WP_002732356.1	A0A1V4BN14	A0A1V4BN14_MICAE	unreviewed	Photosystem II reaction center protein I (PSII-I) (PSII 4.4 kDa protein)	psbI B1L04_22325	Microcystis aeruginosa KW	38	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009539; GO:0015979; GO:0016021; GO:0031676
WP_002732356.1	A0A1X9L6L8	A0A1X9L6L8_MICAE	unreviewed	Photosystem II reaction center protein I (PSII-I) (PSII 4.4 kDa protein)	psbI BH695_1408	Microcystis aeruginosa PCC 7806SL	38	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009539; GO:0015979; GO:0016021; GO:0031676
WP_002732356.1	A0A2L2XTL5	A0A2L2XTL5_9CHRO	unreviewed	Photosystem II reaction center protein I (PSII-I) (PSII 4.4 kDa protein)	psbI N0824_03959	Microcystis sp. 0824	38	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009539; GO:0015979; GO:0016021; GO:0031676
WP_002732356.1	A0A2P1UGI0	A0A2P1UGI0_9CHRO	unreviewed	Photosystem II reaction center protein I (PSII-I) (PSII 4.4 kDa protein)	psbI B5D77_12690	Microcystis sp. MC19	38	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009539; GO:0015979; GO:0016021; GO:0031676
WP_002732356.1	A0A2Z6UZ46	A0A2Z6UZ46_MICAE	unreviewed	Photosystem II reaction center protein I (PSII-I) (PSII 4.4 kDa protein)	psbI MSj_01756	Microcystis aeruginosa Sj	38	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009539; GO:0015979; GO:0016021; GO:0031676
WP_002732356.1	A0A3N0W2N0	A0A3N0W2N0_MICAE	unreviewed	Photosystem II reaction center protein I (PSII-I) (PSII 4.4 kDa protein)	psbI ED562_15715	Microcystis aeruginosa FACHB-524	38	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009539; GO:0015979; GO:0016021; GO:0031676
WP_002732356.1	A0A402DHH1	A0A402DHH1_MICAE	unreviewed	Photosystem II reaction center protein I (PSII-I) (PSII 4.4 kDa protein)	psbI MiAbB_03616	Microcystis aeruginosa NIES-4285	38	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009539; GO:0015979; GO:0016021; GO:0031676
WP_002732356.1	A0A5A5RCX8	A0A5A5RCX8_MICAE	unreviewed	Photosystem II reaction center protein I (PSII-I) (PSII 4.4 kDa protein)	psbI MiYa_01758	Microcystis aeruginosa NIES-2519	38	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009539; GO:0015979; GO:0016021; GO:0031676
WP_002732356.1	A0A5A5RPX1	A0A5A5RPX1_MICAE	unreviewed	Photosystem II reaction center protein I (PSII-I) (PSII 4.4 kDa protein)	psbI MiTe_02002	Microcystis aeruginosa NIES-2520	38	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009539; GO:0015979; GO:0016021; GO:0031676
WP_002732356.1	A0A5A5RUG4	A0A5A5RUG4_MICAE	unreviewed	Photosystem II reaction center protein I (PSII-I) (PSII 4.4 kDa protein)	psbI MiTs_00618	Microcystis aeruginosa NIES-2521	38	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009539; GO:0015979; GO:0016021; GO:0031676
WP_002732356.1	A0A5D5BDD1	A0A5D5BDD1_MICAE	unreviewed	Photosystem II reaction center protein I (PSII-I) (PSII 4.4 kDa protein)	psbI FXO09_12835	Microcystis aeruginosa KLA2	38	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009539; GO:0015979; GO:0016021; GO:0031676
WP_002732356.1	A0A5J4FE13	A0A5J4FE13_MICAE	unreviewed	Photosystem II reaction center protein I (PSII-I) (PSII 4.4 kDa protein)	psbI MiAbW_03536	Microcystis aeruginosa NIES-4325	38	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009539; GO:0015979; GO:0016021; GO:0031676
WP_002732356.1	A0A5J5LWX5	A0A5J5LWX5_MICAE	unreviewed	Photosystem II reaction center protein I (PSII-I) (PSII 4.4 kDa protein)	psbI EZJ55_17275	Microcystis aeruginosa EAWAG127a	38	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009539; GO:0015979; GO:0016021; GO:0031676
WP_002732356.1	A0A6H9GFN0	A0A6H9GFN0_MICAE	unreviewed	Photosystem II reaction center protein I (PSII-I) (PSII 4.4 kDa protein)	psbI NIES3787_22350	Microcystis aeruginosa NIES-3787	38	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009539; GO:0015979; GO:0016021; GO:0031676
WP_002732356.1	A0A6H9GG52	A0A6H9GG52_MICAE	unreviewed	Photosystem II reaction center protein I (PSII-I) (PSII 4.4 kDa protein)	psbI NIES3806_16900	Microcystis aeruginosa NIES-3806	38	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009539; GO:0015979; GO:0016021; GO:0031676
WP_002732356.1	A0A6H9GUD3	A0A6H9GUD3_MICAE	unreviewed	Photosystem II reaction center protein I (PSII-I) (PSII 4.4 kDa protein)	psbI NIES3804_27570	Microcystis aeruginosa NIES-3804	38	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009539; GO:0015979; GO:0016021; GO:0031676
WP_002732356.1	I4FQS0	I4FQS0_MICAE	unreviewed	Photosystem II reaction center protein I (PSII-I) (PSII 4.4 kDa protein)	psbI MICAB_4150001	Microcystis aeruginosa PCC 9717	38	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009539; GO:0015979; GO:0016021; GO:0031676
WP_002732356.1	I4G251	I4G251_MICAE	unreviewed	Photosystem II reaction center protein I (PSII-I) (PSII 4.4 kDa protein)	psbI MICAC_2860004	Microcystis aeruginosa PCC 9443	38	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009539; GO:0015979; GO:0016021; GO:0031676
WP_002732356.1	I4GQY8	I4GQY8_MICAE	unreviewed	Photosystem II reaction center protein I (PSII-I) (PSII 4.4 kDa protein)	psbI MICAE_1190001	Microcystis aeruginosa PCC 9806	38	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009539; GO:0015979; GO:0016021; GO:0031676
WP_002732356.1	I4H4N8	I4H4N8_MICAE	unreviewed	Photosystem II reaction center protein I (PSII-I) (PSII 4.4 kDa protein)	psbI MICAF_2380038	Microcystis aeruginosa PCC 9807	38	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009539; GO:0015979; GO:0016021; GO:0031676
WP_002732356.1	I4HWJ2	I4HWJ2_MICAE	unreviewed	Photosystem II reaction center protein I (PSII-I) (PSII 4.4 kDa protein)	psbI MICAH_3940001	Microcystis aeruginosa PCC 9809	38	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009539; GO:0015979; GO:0016021; GO:0031676
WP_002732356.1	I4IT50	I4IT50_MICAE	unreviewed	Photosystem II reaction center protein I (PSII-I) (PSII 4.4 kDa protein)	psbI MICAK_3300009	Microcystis aeruginosa PCC 9701	38	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009539; GO:0015979; GO:0016021; GO:0031676
WP_002732356.1	L7E8Q4	L7E8Q4_MICAE	unreviewed	Photosystem II reaction center protein I (PSII-I) (PSII 4.4 kDa protein)	psbI O53_444	Microcystis aeruginosa TAIHU98	38	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009539; GO:0015979; GO:0016021; GO:0031676
WP_002732356.1	L8NW42	L8NW42_MICAE	unreviewed	Photosystem II reaction center protein I (PSII-I) (PSII 4.4 kDa protein)	psbI C789_697	Microcystis aeruginosa DIANCHI905	38	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009539; GO:0015979; GO:0016021; GO:0031676
WP_002732356.1	S3K490	S3K490_MICAE	unreviewed	Photosystem II reaction center protein I (PSII-I) (PSII 4.4 kDa protein)	psbI MAESPC_03441	Microcystis aeruginosa SPC777	38	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009539; GO:0015979; GO:0016021; GO:0031676
WP_069790862.1	A0A1E5QV71	A0A1E5QV71_9CHRO	unreviewed	KH domain-containing protein	A5482_12475	Cyanobacterium sp. IPPAS B-1200	142		
WP_002735883.1	A0A0K1SAJ4	A0A0K1SAJ4_9CHRO	unreviewed	Pterin-binding	VL20_6317	Microcystis panniformis FACHB-1757	127		
WP_002735883.1	A0A1E4QEP2	A0A1E4QEP2_MICAE	unreviewed	Pterin-binding family	BFG60_2526	Microcystis aeruginosa NIES-98	127		
WP_002735883.1	A0A2H6BRC2	A0A2H6BRC2_MICAE	unreviewed	DUF4346 domain-containing protein	NIES298_20840	Microcystis aeruginosa NIES-298	127		
WP_002735883.1	A0A3N0WYM5	A0A3N0WYM5_MICAE	unreviewed	DUF4346 domain-containing protein	ED562_05445	Microcystis aeruginosa FACHB-524	127		
WP_002735883.1	I4GP11	I4GP11_MICAE	unreviewed	Ycf91-like protein	MICAD_760002	Microcystis aeruginosa PCC 7941	127		
WP_002735883.1	L7E468	L7E468_MICAE	unreviewed	Ap-4-A phosphorylase II-like protein	O53_2462	Microcystis aeruginosa TAIHU98	127		
WP_024546208.1	A0A1Q2TZW0	A0A1Q2TZW0_9SYNE	unreviewed	Carbon dioxide concentrating mechanism protein	ccmK_4 NIES970_21930	Synechococcus sp. NIES-970	102	carboxysome [GO:0031470]; carbon fixation [GO:0015977]	GO:0015977; GO:0031470
WP_013316871.1	A0A2K8QKN2	A0A2K8QKN2_9GAMM	unreviewed	50S ribosomal protein L36	rpmJ CVE23_06100	Dickeya fangzhongdai	47	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412
WP_013316871.1	A0A3A4CY89	A0A3A4CY89_9GAMM	unreviewed	50S ribosomal protein L36	ykgO rpmJ DZA65_01182	Dickeya dianthicola	47	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412
WP_013316871.1	E0SD89	E0SD89_DICD3	unreviewed	50S ribosomal protein L36	ykgO rpmJ Dda3937_03302	Dickeya dadantii (strain 3937) (Erwinia chrysanthemi (strain 3937))	47	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412
WP_045360393.1	A0A0A1VXB4	A0A0A1VXB4_MICAE	unreviewed	DNA repair protein RecN (Recombination protein N)	N44_02960	Microcystis aeruginosa NIES-44	584	ATP binding [GO:0005524]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]	GO:0005524; GO:0006281; GO:0006310
WP_002771528.1	I4G9M7	I4G9M7_MICAE	unreviewed	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (CMK) (EC 2.7.1.148) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase)	ispE MICAC_5810002	Microcystis aeruginosa PCC 9443	313	"4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity [GO:0050515]; ATP binding [GO:0005524]; isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]"	GO:0005524; GO:0016114; GO:0019288; GO:0050515
WP_046279520.1	A0A0F5YE59	A0A0F5YE59_9CYAN	unreviewed	Cytochrome b6	petB WN50_15775	Limnoraphis robusta CS-951	222	"integral component of membrane [GO:0016021]; plasma membrane-derived thylakoid membrane [GO:0031676]; electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity [GO:0045158]; metal ion binding [GO:0046872]; photosynthesis [GO:0015979]; respiratory electron transport chain [GO:0022904]"	GO:0015979; GO:0016021; GO:0022904; GO:0031676; GO:0045158; GO:0046872
WP_045358340.1	A0A0A1VS12	A0A0A1VS12_MICAE	unreviewed	Shikimate kinase (SK) (EC 2.7.1.71)	aroK N44_01068	Microcystis aeruginosa NIES-44	190	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; shikimate kinase activity [GO:0004765]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	GO:0000287; GO:0004765; GO:0005524; GO:0005737; GO:0008652; GO:0009073; GO:0009423
WP_015167999.1	K9STU7	K9STU7_9SYNE	unreviewed	PAS domain S-box	Syn7502_01242	Synechococcus sp. PCC 7502	1007	"ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]; regulation of transcription, DNA-templated [GO:0006355]"	GO:0000155; GO:0005524; GO:0006355
WP_068512860.1	A0A120MWR1	A0A120MWR1_9CYAN	unreviewed	von Willebrand factor type A domain protein	O77CONTIG1_03581	Leptolyngbya sp. O-77	412		
WP_068382523.1	A0A0S3U0Z4	A0A0S3U0Z4_9CYAN	unreviewed	Uncharacterized protein	LEP3755_16430	Leptolyngbya sp. NIES-3755	70		
WP_042153536.1	A0A073CFI2	A0A073CFI2_PLAAG	unreviewed	SirA family protein (EC 2.8.1.-)	A19Y_1662	Planktothrix agardhii NIVA-CYA 126/8	89	transferase activity [GO:0016740]	GO:0016740
WP_007304532.1	Q4C6S3	Q4C6S3_CROWT	unreviewed	Uncharacterized protein	CwatDRAFT_5133	Crocosphaera watsonii WH 8501	508		
WP_007309294.1	G5IZM0	G5IZM0_CROWT	unreviewed	Uncharacterized protein	CWATWH0003_0711	Crocosphaera watsonii WH 0003	164		
WP_007309294.1	T2IHQ6	T2IHQ6_CROWT	unreviewed	Gll1070 protein	CWATWH8502_3002	Crocosphaera watsonii WH 8502	164		
WP_007309294.1	T2JCK2	T2JCK2_CROWT	unreviewed	Uncharacterized protein	CWATWH0401_3954	Crocosphaera watsonii WH 0401	164		
WP_002787481.1	I4H6H4	I4H6H4_MICAE	unreviewed	Similar to tr|Q4C927|Q4C927_CROWT Peptidase S13	MICAF_3010001	Microcystis aeruginosa PCC 9807	430	serine-type carboxypeptidase activity [GO:0004185]	GO:0004185
WP_044107167.1	A0A077JGK5	A0A077JGK5_9CYAN	unreviewed	Penicillin-binding protein	ETSB_1610	cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko	610	integral component of membrane [GO:0016021]; penicillin binding [GO:0008658]	GO:0008658; GO:0016021
WP_026086539.1	A0A2N6KUU5	A0A2N6KUU5_9CYAN	unreviewed	Uncharacterized protein	CEN49_14355	Fischerella thermalis CCMEE 5273	197	integral component of membrane [GO:0016021]	GO:0016021
WP_046663176.1	A0A0F6U7D3	A0A0F6U7D3_MICAE	unreviewed	Putative poly(Beta-D-mannuronate) O-acetylase (EC 2.3.1.-)	MYAER_3821	Microcystis aeruginosa NIES-2549	486	"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transferase activity, transferring acyl groups [GO:0016746]; alginic acid biosynthetic process [GO:0042121]"	GO:0005886; GO:0016021; GO:0016746; GO:0042121
WP_057898543.1	A0A0X8D1N9	A0A0X8D1N9_9BACL	unreviewed	Uncharacterized protein	ACH33_08030	Aneurinibacillus sp. XH2	77		
WP_015137883.1	K9QP87	K9QP87_NOSS7	unreviewed	Putative Zn-dependent protease-like protein	Nos7524_1555	Nostoc sp. (strain ATCC 29411 / PCC 7524)	447	metallopeptidase activity [GO:0008237]	GO:0008237
WP_007310211.1	G5J2Z1	G5J2Z1_CROWT	unreviewed	"Transposase, IS200/IS605 family (Fragment)"	CWATWH0003_1872t5	Crocosphaera watsonii WH 0003	286		
WP_002795280.1	I4I1H7	I4I1H7_MICAE	unreviewed	Transposase	MICAG_4210001	Microcystis aeruginosa PCC 9808	281	metal ion binding [GO:0046872]	GO:0046872
WP_017291269.1	A0A1Z4JA86	A0A1Z4JA86_LEPBY	unreviewed	Uncharacterized protein	NIES2135_05050	Leptolyngbya boryana NIES-2135	1422		
WP_073635391.1	A0A1Z4J1Z2	A0A1Z4J1Z2_9CYAN	unreviewed	Binding-protein-dependent transporter inner membrane protein	SAMD00079811_59450	Scytonema sp. HK-05	341	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transport [GO:0055085]	GO:0005886; GO:0016021; GO:0055085
WP_008277779.1	A3IWM2	A3IWM2_9CHRO	unreviewed	Uncharacterized protein	CY0110_12077	Crocosphaera chwakensis CCY0110	146		
