"","id","description","length","eValue","bitscore","simMean","GO_IDs","GO_terms","gene_id","gene_name","KO"
"11","2_2","WP_167719429.1",189,3.25e-69,218,75.13,"GO:0006457;GO:0000774;GO:0042803;GO:0051087","protein folding; adenyl-nucleotide exchange factor activity; protein homodimerization activity; chaperone binding","K03687","molecular chaperone GrpE","K03687"
"12","2_4","WP_039713888.1",153,1.95e-75,226,83.66,"GO:0008113","peptide-methionine (S)-S-oxide reductase activity","K07304","peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]","K07304"
"13","2_9","WP_015957390.1",255,2.02e-116,347,76.47,"GO:0016702;GO:0046872","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen;metal ion binding","K00464","all-trans-8'-apo-beta-carotenal 15,15'-oxygenase [EC:1.13.11.75]","K00464"
"14","3_3","BAZ50546.1",397,7.37e-163,470,73.8,"GO:0009987;GO:0003677;GO:0006310;GO:0032196","cellular process;DNA binding;DNA recombination;transposition","K07496","putative transposase","K07496"
"15","3_4","NET48333.1",184,1.63e-95,280,87.5,"GO:0090305;GO:0004519","nucleic acid phosphodiester bond hydrolysis; endonuclease activity;endonuclease activity","NET48333.1","Uma2 family endonuclease","none"
"16","3_5","NEN87711.1",100,6.67e-55,170,90,"GO:0006412;GO:0003735;GO:0005840;GO:0019843","translation; structural constituent of ribosome; ribosome;ribosome;rRNA binding;structural constituent of ribosome","K02954","small subunit ribosomal protein S14","K02954"
"17","3_7","WP_190514262.1",186,1.51e-89,265,82.8,"GO:0030163;GO:0008914","protein catabolic process; leucyltransferase activity","K00684","leucyl/phenylalanyl-tRNA---protein transferase [EC:2.3.2.6]","K00684"
"18","3_12","MBN3893746.1",295,2.09e-167,471,92.2,"GO:0006526;GO:0003991;GO:0005737","arginine biosynthetic process; acetylglutamate kinase activity; cytoplasm","K00930","acetylglutamate kinase [EC:2.7.2.8]","K00930"
"19","3_13","NCS07892.1",242,3.19e-80,246,65.29,"GO:0004594","pantothenate kinase activity","K03525","type III pantothenate kinase [EC:2.7.1.33]","K03525"
"20","3_14","WP_016516790.1",771,1.73e-243,701,69.26,"GO:0016020;GO:0016021","membrane; integral component of membrane;integral component of membrane","K22615","NLR family CARD domain containing 5","K22615"
"21","3_18","CCQ50180.1",84,3.24e-51,165,100,"GO:0016021","integral component of membrane","K17979","mitochondrial distribution and morphology protein 31","K17979"
"22","3_19","WP_012593393.1",887,0,1395,93.35,"GO:0009408;GO:0042026;GO:0005524;GO:0016887;GO:0005737","response to heat; protein refolding; ATP binding; ATP hydrolysis activity; cytoplasm;cytoplasm;ATP binding;ATPase activity;protein refolding","K03695","ATP-dependent Clp protease ATP-binding subunit ClpB","K03695"
"23","3_20","WP_106232911.1",60,2.95e-26,95.5,86.67,"GO:0003729","mRNA binding","K07339","mRNA interferase HicA [EC:3.1.-.-]","K07339"
"24","3_25","NEQ63042.1",403,1.21e-215,602,84.12,"GO:0006310;GO:0032196;GO:0003677","DNA recombination; transposition; DNA binding;DNA binding;transposition","K07496","putative transposase","K07496"
"25","3_27","MBD2580306.1",387,1.1e-233,646,92.25,"GO:0006164;GO:0003938;GO:0003824;GO:0016491","purine nucleotide biosynthetic process; IMP dehydrogenase activity; catalytic activity; oxidoreductase activity","K00088","IMP dehydrogenase [EC:1.1.1.205]","K00088"
"26","3_28","NBD18800.1",1806,2.43e-305,932,52.55,"GO:0009306;GO:0005887","protein secretion; integral component of plasma membrane","K09800","translocation and assembly module TamB","K09800"
"27","3_29","MBC6434629.1",337,3.84e-124,365,72.7,"GO:0016021;GO:0016020","integral component of membrane;membrane; integral component of membrane","K03298","drug/metabolite transporter, DME family","K03298"
"28","3_30","NCQ97290.1",455,1.63e-210,593,78.02,"GO:0016746","acyltransferase activity","K13507","glycerol-3-phosphate O-acyltransferase / dihydroxyacetone phosphate acyltransferase [EC:2.3.1.15 2.3.1.42]","K13507"
"29","3_33","WP_046279576.1",233,2.25e-149,420,94.42,"GO:0005975;GO:0006098;GO:0004750;GO:0003824;GO:0016857;GO:0019323;GO:0046872","carbohydrate metabolic process; pentose-phosphate shunt; ribulose-phosphate 3-epimerase activity; catalytic activity; racemase and epimerase activity, acting on carbohydrates and derivatives;metal ion binding;ribulose-phosphate 3-epimerase activity;pentose catabolic process;pentose-phosphate shunt","K01783","ribulose-phosphate 3-epimerase [EC:5.1.3.1]","K01783"
"30","3_34","GAX35094.1",303,4.19e-131,380,76.57,"GO:0006566;GO:0004413;GO:0005524;GO:0005737;GO:0009088","threonine metabolic process; homoserine kinase activity; ATP binding;cytoplasm;ATP binding;homoserine kinase activity;threonine biosynthetic process","K00872","homoserine kinase [EC:2.7.1.39]","K00872"
"31","3_36","WP_007304738.1",209,4.64e-137,387,100,"GO:0006353;GO:0006355;GO:0003723;GO:0031564","DNA-templated transcription, termination; regulation of transcription, DNA-templated; RNA binding;RNA binding;regulation of transcription, DNA-templated;transcription antitermination","K03625","transcription antitermination protein NusB","K03625"
"32","3_36","WP_007304738.1",209,4.64e-137,387,100,"GO:0006353;GO:0006355;GO:0003723;GO:0031564","DNA-templated transcription, termination; regulation of transcription, DNA-templated; RNA binding;RNA binding;regulation of transcription, DNA-templated;transcription antitermination","K03625","transcription antitermination protein NusB","K03625"
"33","3_36","WP_007304738.1",209,4.64e-137,387,100,"GO:0006353;GO:0006355;GO:0003723;GO:0031564","DNA-templated transcription, termination; regulation of transcription, DNA-templated; RNA binding;RNA binding;regulation of transcription, DNA-templated;transcription antitermination","K03625","transcription antitermination protein NusB","K03625"
"34","3_36","WP_007304738.1",209,4.64e-137,387,100,"GO:0006353;GO:0006355;GO:0003723;GO:0031564","DNA-templated transcription, termination; regulation of transcription, DNA-templated; RNA binding;RNA binding;regulation of transcription, DNA-templated;transcription antitermination","K03625","transcription antitermination protein NusB","K03625"
"35","3_36","WP_007304738.1",209,4.64e-137,387,100,"GO:0006353;GO:0006355;GO:0003723;GO:0031564","DNA-templated transcription, termination; regulation of transcription, DNA-templated; RNA binding;RNA binding;regulation of transcription, DNA-templated;transcription antitermination","K03625","transcription antitermination protein NusB","K03625"
"36","3_38","WP_193961127.1",593,2.1e-287,800,85.67,"GO:0055085;GO:0005524;GO:0140359;GO:0016021","transmembrane transport; ATP binding; ABC-type transporter activity; integral component of membrane","K18890","ATP-binding cassette, subfamily B, multidrug efflux pump","K18890"
"37","3_39","MBW4493189.1",852,6.91e-275,794,67.49,"GO:0000160;GO:0006935;GO:0016310;GO:0016772;GO:0007165","phosphorelay signal transduction system; chemotaxis; phosphorylation; transferase activity, transferring phosphorus-containing groups; signal transduction","K13490","two-component system, chemotaxis family, sensor histidine kinase and response regulator WspE","K13490"
"38","3_40","PSO99713.1",335,2.66e-109,325,66.27,"GO:0009231;GO:0003919;GO:0008531","riboflavin biosynthetic process; FMN adenylyltransferase activity; riboflavin kinase activity","K11753","riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]","K11753"
"39","3_41","WP_193986269.1",489,8.95e-255,708,79.14,"GO:0004373;GO:0016757","glycogen (starch) synthase activity; glycosyltransferase activity","K00703","starch synthase [EC:2.4.1.21]","K00703"
"40","3_42","WP_060832850.1",158,1.92e-77,232,83.54,"GO:0016655;GO:0016020;GO:0031676;GO:0048038","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor; membrane;plasma membrane-derived thylakoid membrane;quinone binding","K05585","NAD(P)H-quinone oxidoreductase subunit N [EC:7.1.1.2]","K05585"
"41","3_43","WP_002732356.1",38,4.55e-17,70.5,92.11,"GO:0015979;GO:0009539;GO:0009523;GO:0016020;GO:0016021;GO:0031676","photosynthesis; photosystem II reaction center; photosystem II; membrane;integral component of membrane;photosystem II reaction center;plasma membrane-derived thylakoid membrane","K02710","photosystem II PsbI protein","K02710"
"42","3_43","WP_002732356.1",38,4.55e-17,70.5,92.11,"GO:0015979;GO:0009539;GO:0009523;GO:0016020;GO:0016021;GO:0031676","photosynthesis; photosystem II reaction center; photosystem II; membrane;integral component of membrane;photosystem II reaction center;plasma membrane-derived thylakoid membrane","K02710","photosystem II PsbI protein","K02710"
"43","3_43","WP_002732356.1",38,4.55e-17,70.5,92.11,"GO:0015979;GO:0009539;GO:0009523;GO:0016020;GO:0016021;GO:0031676","photosynthesis; photosystem II reaction center; photosystem II; membrane;integral component of membrane;photosystem II reaction center;plasma membrane-derived thylakoid membrane","K02710","photosystem II PsbI protein","K02710"
"44","3_43","WP_002732356.1",38,4.55e-17,70.5,92.11,"GO:0015979;GO:0009539;GO:0009523;GO:0016020;GO:0016021;GO:0031676","photosynthesis; photosystem II reaction center; photosystem II; membrane;integral component of membrane;photosystem II reaction center;plasma membrane-derived thylakoid membrane","K02710","photosystem II PsbI protein","K02710"
"45","3_43","WP_002732356.1",38,4.55e-17,70.5,92.11,"GO:0015979;GO:0009539;GO:0009523;GO:0016020;GO:0016021;GO:0031676","photosynthesis; photosystem II reaction center; photosystem II; membrane;integral component of membrane;photosystem II reaction center;plasma membrane-derived thylakoid membrane","K02710","photosystem II PsbI protein","K02710"
"46","3_43","WP_002732356.1",38,4.55e-17,70.5,92.11,"GO:0015979;GO:0009539;GO:0009523;GO:0016020;GO:0016021;GO:0031676","photosynthesis; photosystem II reaction center; photosystem II; membrane;integral component of membrane;photosystem II reaction center;plasma membrane-derived thylakoid membrane","K02710","photosystem II PsbI protein","K02710"
"47","3_43","WP_002732356.1",38,4.55e-17,70.5,92.11,"GO:0015979;GO:0009539;GO:0009523;GO:0016020;GO:0016021;GO:0031676","photosynthesis; photosystem II reaction center; photosystem II; membrane;integral component of membrane;photosystem II reaction center;plasma membrane-derived thylakoid membrane","K02710","photosystem II PsbI protein","K02710"
"48","3_43","WP_002732356.1",38,4.55e-17,70.5,92.11,"GO:0015979;GO:0009539;GO:0009523;GO:0016020;GO:0016021;GO:0031676","photosynthesis; photosystem II reaction center; photosystem II; membrane;integral component of membrane;photosystem II reaction center;plasma membrane-derived thylakoid membrane","K02710","photosystem II PsbI protein","K02710"
"49","3_43","WP_002732356.1",38,4.55e-17,70.5,92.11,"GO:0015979;GO:0009539;GO:0009523;GO:0016020;GO:0016021;GO:0031676","photosynthesis; photosystem II reaction center; photosystem II; membrane;integral component of membrane;photosystem II reaction center;plasma membrane-derived thylakoid membrane","K02710","photosystem II PsbI protein","K02710"
"50","3_43","WP_002732356.1",38,4.55e-17,70.5,92.11,"GO:0015979;GO:0009539;GO:0009523;GO:0016020;GO:0016021;GO:0031676","photosynthesis; photosystem II reaction center; photosystem II; membrane;integral component of membrane;photosystem II reaction center;plasma membrane-derived thylakoid membrane","K02710","photosystem II PsbI protein","K02710"
"51","3_43","WP_002732356.1",38,4.55e-17,70.5,92.11,"GO:0015979;GO:0009539;GO:0009523;GO:0016020;GO:0016021;GO:0031676","photosynthesis; photosystem II reaction center; photosystem II; membrane;integral component of membrane;photosystem II reaction center;plasma membrane-derived thylakoid membrane","K02710","photosystem II PsbI protein","K02710"
"52","3_43","WP_002732356.1",38,4.55e-17,70.5,92.11,"GO:0015979;GO:0009539;GO:0009523;GO:0016020;GO:0016021;GO:0031676","photosynthesis; photosystem II reaction center; photosystem II; membrane;integral component of membrane;photosystem II reaction center;plasma membrane-derived thylakoid membrane","K02710","photosystem II PsbI protein","K02710"
"53","3_43","WP_002732356.1",38,4.55e-17,70.5,92.11,"GO:0015979;GO:0009539;GO:0009523;GO:0016020;GO:0016021;GO:0031676","photosynthesis; photosystem II reaction center; photosystem II; membrane;integral component of membrane;photosystem II reaction center;plasma membrane-derived thylakoid membrane","K02710","photosystem II PsbI protein","K02710"
"54","3_43","WP_002732356.1",38,4.55e-17,70.5,92.11,"GO:0015979;GO:0009539;GO:0009523;GO:0016020;GO:0016021;GO:0031676","photosynthesis; photosystem II reaction center; photosystem II; membrane;integral component of membrane;photosystem II reaction center;plasma membrane-derived thylakoid membrane","K02710","photosystem II PsbI protein","K02710"
"55","3_43","WP_002732356.1",38,4.55e-17,70.5,92.11,"GO:0015979;GO:0009539;GO:0009523;GO:0016020;GO:0016021;GO:0031676","photosynthesis; photosystem II reaction center; photosystem II; membrane;integral component of membrane;photosystem II reaction center;plasma membrane-derived thylakoid membrane","K02710","photosystem II PsbI protein","K02710"
"56","3_43","WP_002732356.1",38,4.55e-17,70.5,92.11,"GO:0015979;GO:0009539;GO:0009523;GO:0016020;GO:0016021;GO:0031676","photosynthesis; photosystem II reaction center; photosystem II; membrane;integral component of membrane;photosystem II reaction center;plasma membrane-derived thylakoid membrane","K02710","photosystem II PsbI protein","K02710"
"57","3_43","WP_002732356.1",38,4.55e-17,70.5,92.11,"GO:0015979;GO:0009539;GO:0009523;GO:0016020;GO:0016021;GO:0031676","photosynthesis; photosystem II reaction center; photosystem II; membrane;integral component of membrane;photosystem II reaction center;plasma membrane-derived thylakoid membrane","K02710","photosystem II PsbI protein","K02710"
"58","3_43","WP_002732356.1",38,4.55e-17,70.5,92.11,"GO:0015979;GO:0009539;GO:0009523;GO:0016020;GO:0016021;GO:0031676","photosynthesis; photosystem II reaction center; photosystem II; membrane;integral component of membrane;photosystem II reaction center;plasma membrane-derived thylakoid membrane","K02710","photosystem II PsbI protein","K02710"
"59","3_43","WP_002732356.1",38,4.55e-17,70.5,92.11,"GO:0015979;GO:0009539;GO:0009523;GO:0016020;GO:0016021;GO:0031676","photosynthesis; photosystem II reaction center; photosystem II; membrane;integral component of membrane;photosystem II reaction center;plasma membrane-derived thylakoid membrane","K02710","photosystem II PsbI protein","K02710"
"60","3_43","WP_002732356.1",38,4.55e-17,70.5,92.11,"GO:0015979;GO:0009539;GO:0009523;GO:0016020;GO:0016021;GO:0031676","photosynthesis; photosystem II reaction center; photosystem II; membrane;integral component of membrane;photosystem II reaction center;plasma membrane-derived thylakoid membrane","K02710","photosystem II PsbI protein","K02710"
"61","3_43","WP_002732356.1",38,4.55e-17,70.5,92.11,"GO:0015979;GO:0009539;GO:0009523;GO:0016020;GO:0016021;GO:0031676","photosynthesis; photosystem II reaction center; photosystem II; membrane;integral component of membrane;photosystem II reaction center;plasma membrane-derived thylakoid membrane","K02710","photosystem II PsbI protein","K02710"
"62","3_43","WP_002732356.1",38,4.55e-17,70.5,92.11,"GO:0015979;GO:0009539;GO:0009523;GO:0016020;GO:0016021;GO:0031676","photosynthesis; photosystem II reaction center; photosystem II; membrane;integral component of membrane;photosystem II reaction center;plasma membrane-derived thylakoid membrane","K02710","photosystem II PsbI protein","K02710"
"63","3_43","WP_002732356.1",38,4.55e-17,70.5,92.11,"GO:0015979;GO:0009539;GO:0009523;GO:0016020;GO:0016021;GO:0031676","photosynthesis; photosystem II reaction center; photosystem II; membrane;integral component of membrane;photosystem II reaction center;plasma membrane-derived thylakoid membrane","K02710","photosystem II PsbI protein","K02710"
"64","3_43","WP_002732356.1",38,4.55e-17,70.5,92.11,"GO:0015979;GO:0009539;GO:0009523;GO:0016020;GO:0016021;GO:0031676","photosynthesis; photosystem II reaction center; photosystem II; membrane;integral component of membrane;photosystem II reaction center;plasma membrane-derived thylakoid membrane","K02710","photosystem II PsbI protein","K02710"
"65","3_43","WP_002732356.1",38,4.55e-17,70.5,92.11,"GO:0015979;GO:0009539;GO:0009523;GO:0016020;GO:0016021;GO:0031676","photosynthesis; photosystem II reaction center; photosystem II; membrane;integral component of membrane;photosystem II reaction center;plasma membrane-derived thylakoid membrane","K02710","photosystem II PsbI protein","K02710"
"66","3_43","WP_002732356.1",38,4.55e-17,70.5,92.11,"GO:0015979;GO:0009539;GO:0009523;GO:0016020;GO:0016021;GO:0031676","photosynthesis; photosystem II reaction center; photosystem II; membrane;integral component of membrane;photosystem II reaction center;plasma membrane-derived thylakoid membrane","K02710","photosystem II PsbI protein","K02710"
"67","3_43","WP_002732356.1",38,4.55e-17,70.5,92.11,"GO:0015979;GO:0009539;GO:0009523;GO:0016020;GO:0016021;GO:0031676","photosynthesis; photosystem II reaction center; photosystem II; membrane;integral component of membrane;photosystem II reaction center;plasma membrane-derived thylakoid membrane","K02710","photosystem II PsbI protein","K02710"
"68","3_43","WP_002732356.1",38,4.55e-17,70.5,92.11,"GO:0015979;GO:0009539;GO:0009523;GO:0016020;GO:0016021;GO:0031676","photosynthesis; photosystem II reaction center; photosystem II; membrane;integral component of membrane;photosystem II reaction center;plasma membrane-derived thylakoid membrane","K02710","photosystem II PsbI protein","K02710"
"69","3_43","WP_002732356.1",38,4.55e-17,70.5,92.11,"GO:0015979;GO:0009539;GO:0009523;GO:0016020;GO:0016021;GO:0031676","photosynthesis; photosystem II reaction center; photosystem II; membrane;integral component of membrane;photosystem II reaction center;plasma membrane-derived thylakoid membrane","K02710","photosystem II PsbI protein","K02710"
"70","3_43","WP_002732356.1",38,4.55e-17,70.5,92.11,"GO:0015979;GO:0009539;GO:0009523;GO:0016020;GO:0016021;GO:0031676","photosynthesis; photosystem II reaction center; photosystem II; membrane;integral component of membrane;photosystem II reaction center;plasma membrane-derived thylakoid membrane","K02710","photosystem II PsbI protein","K02710"
"71","3_45","WP_204138535.1",82,2.57e-36,122,89.02,"GO:0006412;GO:0003735;GO:0005840","translation; structural constituent of ribosome; ribosome","K02959","small subunit ribosomal protein S16","K02959"
"72","3_47","WP_079678367.1",405,8.41e-180,512,80,"GO:0009245;GO:0008915","lipid A biosynthetic process; lipid-A-disaccharide synthase activity","K00748","lipid-A-disaccharide synthase [EC:2.4.1.182]","K00748"
"73","3_48","WP_096385240.1",413,4.94e-167,478,76.76,"GO:0006508;GO:0004252;GO:0005515","proteolysis; serine-type endopeptidase activity; protein binding","K04772","serine protease DegQ [EC:3.4.21.-]","K04772"
"74","3_49","NJO41745.1",412,1.86e-169,488,79.13,"GO:0055085;GO:0015297;GO:0042910;GO:0016020","transmembrane transport; antiporter activity; xenobiotic transmembrane transporter activity; membrane","K03327","multidrug resistance protein, MATE family","K03327"
"75","3_52","MBC6476713.1",111,2.63e-55,172,88.29,"GO:0031469","polyhedral organelle","K08696","carbon dioxide concentrating mechanism protein CcmK","K08696"
"76","3_53","WP_024546208.1",101,5.12e-42,138,85.15,"GO:0031469;GO:0015977;GO:0031470","polyhedral organelle;carboxysome;carbon fixation","K08696","carbon dioxide concentrating mechanism protein CcmK","K08696"
"77","3_54","NES65344.1",201,1.45e-88,263,82.59,"GO:0006310;GO:0006355;GO:0000150;GO:0003677;GO:0015074","DNA recombination; regulation of transcription, DNA-templated; DNA strand exchange activity; DNA binding;DNA binding;recombinase activity;DNA integration;regulation of transcription, DNA-templated","K07450","putative resolvase","K07450"
"78","3_56","WP_110545011.1",446,5.44e-133,396,72.2,"GO:0006812;GO:0055085;GO:0015299;GO:0016021","cation transport; transmembrane transport; solute:proton antiporter activity; integral component of membrane","K03455","monovalent cation:H+ antiporter-2, CPA2 family","K03455"
"79","3_58","NQE38000.1",296,5.39e-49,187,63.85,"GO:0007156;GO:0005509;GO:0016020","homophilic cell adhesion via plasma membrane adhesion molecules; calcium ion binding; membrane","K16669","protocadherin Fat 4","K16669"
"80","3_62","WP_013316871.1",47,5.27e-18,73.6,91.49,"GO:0006412;GO:0003735;GO:0005840","translation; structural constituent of ribosome; ribosome;ribosome;structural constituent of ribosome","K02919","large subunit ribosomal protein L36","K02919"
"81","3_62","WP_013316871.1",47,5.27e-18,73.6,91.49,"GO:0006412;GO:0003735;GO:0005840","translation; structural constituent of ribosome; ribosome;ribosome;structural constituent of ribosome","K02919","large subunit ribosomal protein L36","K02919"
"82","3_62","WP_013316871.1",47,5.27e-18,73.6,91.49,"GO:0006412;GO:0003735;GO:0005840","translation; structural constituent of ribosome; ribosome;ribosome;structural constituent of ribosome","K02919","large subunit ribosomal protein L36","K02919"
"83","3_64","WP_045360393.1",578,1.12e-254,716,80.62,"GO:0006281;GO:0006310;GO:0005524","DNA repair; DNA recombination; ATP binding;ATP binding;DNA recombination","K03631","DNA repair protein RecN (Recombination protein N)","K03631"
"84","3_66","WP_002771528.1",312,1.87e-140,405,78.53,"GO:0016114;GO:0005524;GO:0050515;GO:0019288","terpenoid biosynthetic process; ATP binding; 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity;4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity;ATP binding;isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway","K00919","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]","K00919"
"85","3_67","PIG91402.1",74,9.36e-10,66.2,60.81,"GO:0005515","protein binding","K15503","serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B","K15503"
"86","3_69","NER07628.1",388,1.53e-173,496,83.25,"GO:0003924;GO:0005525;GO:0000917;GO:0005737;GO:0032153;GO:0043093;GO:0051258","GTPase activity; GTP binding;cell division site;cytoplasm;GTP binding;division septum assembly;FtsZ-dependent cytokinesis;protein polymerization","K03531","cell division protein FtsZ","K03531"
"87","3_70","WP_090620159.1",172,8.87e-79,236,82.56,"GO:0010181","FMN binding","K03839","flavodoxin I","K03839"
"88","3_72","NET64143.1",386,7.33e-111,334,62.18,"GO:0009072;GO:0003868;GO:0016701","aromatic amino acid family metabolic process; 4-hydroxyphenylpyruvate dioxygenase activity; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen","K00457","4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]","K00457"
"89","3_73","WP_017304514.1",356,3.88e-183,517,85.39,"GO:0016614;GO:0046872;GO:0016491","oxidoreductase activity, acting on CH-OH group of donors; metal ion binding;oxidoreductase activity; oxidoreductase activity, acting on CH-OH group of donors","K00005","glycerol dehydrogenase [EC:1.1.1.6]","K00005"
"90","3_75","NJK73563.1",160,1.27e-101,293,91.88,"GO:0009767;GO:0045156;GO:0042651;GO:0009055;GO:0016491;GO:0016020","photosynthetic electron transport chain; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity; thylakoid membrane; electron transfer activity; oxidoreductase activity; membrane","K02637","cytochrome b6-f complex subunit 4","K02637"
"91","3_76","WP_046279520.1",222,1.27e-145,409,95.05,"GO:0022904;GO:0009055;GO:0016020;GO:0016491;GO:0015979;GO:0016021;GO:0031676;GO:0045158;GO:0046872","respiratory electron transport chain; electron transfer activity; membrane; oxidoreductase activity;integral component of membrane;plasma membrane-derived thylakoid membrane;electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity;metal ion binding;photosynthesis","K02635","cytochrome b6","K02635"
"92","3_77","WP_045358340.1",172,2.56e-71,219,81.4,"GO:0008652;GO:0009073;GO:0009423;GO:0016310;GO:0000287;GO:0004765;GO:0005524;GO:0005737","cellular amino acid biosynthetic process; aromatic amino acid family biosynthetic process; chorismate biosynthetic process; phosphorylation; magnesium ion binding; shikimate kinase activity; ATP binding; cytoplasm;cytoplasm;ATP binding;magnesium ion binding;shikimate kinase activity;aromatic amino acid family biosynthetic process;chorismate biosynthetic process","K00891","shikimate kinase [EC:2.7.1.71]","K00891"
"93","3_79","WP_167723486.1",195,8.82e-92,271,78.97,"GO:0017009;GO:0016829","protein-phycocyanobilin linkage; lyase activity","K05383","CpeT protein","K05383"
"94","3_80","NCR25870.1",370,2.24e-185,524,78.92,"GO:0006207;GO:0004152;GO:0005737;GO:0016020;GO:0003824;GO:0016627","'de novo' pyrimidine nucleobase biosynthetic process; dihydroorotate dehydrogenase activity; cytoplasm; membrane; catalytic activity; oxidoreductase activity, acting on the CH-CH group of donors","K00254","dihydroorotate dehydrogenase [EC:1.3.5.2]","K00254"
"95","3_82","WP_015167999.1",564,1.27e-81,289,56.03,"GO:0007165;GO:0016310;GO:0000155;GO:0005515;GO:0016772;GO:0005524;GO:0006355","signal transduction; phosphorylation; phosphorelay sensor kinase activity; protein binding; transferase activity, transferring phosphorus-containing groups;ATP binding;phosphorelay sensor kinase activity;regulation of transcription, DNA-templated","K07679","two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]","K07679"
"96","3_84","MBF2002187.1",368,4.74e-98,305,61.14,"GO:0004867;GO:0005615","serine-type endopeptidase inhibitor activity; extracellular space","K13963","serpin B","K13963"
"97","3_86","MBD1835862.1",134,5.21e-54,177,84.33,"GO:0055085;GO:0022857","transmembrane transport; transmembrane transporter activity","K03559","biopolymer transport protein ExbD","K03559"
"98","3_91","WP_194072421.1",256,1.26e-60,197,64.84,"GO:0005515","protein binding","K09667","protein O-GlcNAc transferase [EC:2.4.1.255]","K09667"
"99","3_92","WP_082209874.1",274,5.47e-114,338,76.64,"GO:0042301","phosphate ion binding","K02040","phosphate transport system substrate-binding protein","K02040"
"100","3_93","MBL8476700.1",302,2.58e-132,383,82.78,"GO:0006817;GO:0055085;GO:0005315;GO:0016021;GO:0016020","phosphate ion transport; transmembrane transport; inorganic phosphate transmembrane transporter activity; integral component of membrane; membrane","K02037","phosphate transport system permease protein","K02037"
"101","3_94","TDI76667.1",319,9.31e-133,384,78.68,"GO:0035435;GO:0005315;GO:0005887;GO:0055085;GO:0016020","phosphate ion transmembrane transport; inorganic phosphate transmembrane transporter activity; integral component of plasma membrane; transmembrane transport; membrane","K02038","phosphate transport system permease protein","K02038"
"102","3_95","MBI3917429.1",242,3.64e-124,358,87.6,"GO:0035435;GO:0005315;GO:0005524;GO:0015415;GO:0016020;GO:0006817","phosphate ion transmembrane transport; inorganic phosphate transmembrane transporter activity; ATP binding; ATPase-coupled phosphate ion transmembrane transporter activity; membrane;phosphate ion transport; phosphate ion transmembrane transport","K02036","phosphate transport system ATP-binding protein [EC:7.3.2.1]","K02036"
"103","3_97","WP_103136162.1",156,9.47e-75,225,80.77,"GO:0006470;GO:0004725","protein dephosphorylation; protein tyrosine phosphatase activity","K14394","low molecular weight phosphotyrosine protein phosphatase [EC:3.1.3.2 3.1.3.48]","K14394"
