	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	3_34	GAX35094.1	918	1	4.19E-131	76.57	3	P:GO:0006566; F:GO:0004413; F:GO:0005524	P:threonine metabolic process; F:homoserine kinase activity; F:ATP binding			PR00958 (PRINTS); IPR006204 (PFAM); IPR036554 (G3DSA:3.30.70.GENE3D); IPR000870 (PIRSF); IPR013750 (PFAM); IPR014721 (G3DSA:3.30.230.GENE3D); IPR000870 (TIGRFAM); PTHR20861:SF1 (PANTHER); PTHR20861 (PANTHER); IPR000870 (HAMAP); IPR036554 (SUPERFAMILY); IPR020568 (SUPERFAMILY)	P:GO:0006566; F:GO:0004413; F:GO:0005524	P:threonine metabolic process; F:homoserine kinase activity; F:ATP binding
true	[INTERPRO, BLASTED]	3_35	WP_190392096.1	759	1	4.7E-114	88.89						IPR007462 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR31876:SF15 (PANTHER); PTHR31876 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	3_36	WP_007304738.1	630	1	4.64E-137	100.0	3	P:GO:0006353; P:GO:0006355; F:GO:0003723	P:DNA-templated transcription, termination; P:regulation of transcription, DNA-templated; F:RNA binding			IPR006027 (PFAM); IPR011605 (TIGRFAM); IPR035926 (G3DSA:1.10.940.GENE3D); IPR011605 (PANTHER); IPR011605 (HAMAP); cd00619 (CDD); IPR035926 (SUPERFAMILY)	P:GO:0006353; P:GO:0006355; F:GO:0003723	P:DNA-templated transcription, termination; P:regulation of transcription, DNA-templated; F:RNA binding
true	[INTERPRO, BLASTED]	3_37	NCR11589.1	429	1	1.43E-50	67.91						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, ANNOTATED]	3_38	WP_193961127.1	1845	1	2.1E-287	85.67	4	P:GO:0055085; F:GO:0005524; F:GO:0140359; C:GO:0016021	P:transmembrane transport; F:ATP binding; F:ABC-type transporter activity; C:integral component of membrane			IPR003593 (SMART); IPR003439 (PFAM); IPR011527 (PFAM); IPR036640 (G3DSA:1.20.1560.GENE3D); IPR027417 (G3DSA:3.40.50.GENE3D); IPR039421 (PANTHER); PTHR24221:SF544 (PANTHER); IPR011527 (PROSITE_PROFILES); IPR003439 (PROSITE_PROFILES); cd03254 (CDD); cd18544 (CDD); IPR036640 (SUPERFAMILY); IPR027417 (SUPERFAMILY)	P:GO:0055085; F:GO:0005524; F:GO:0140359; C:GO:0016021	P:transmembrane transport; F:ATP binding; F:ABC-type transporter activity; C:integral component of membrane
true	[INTERPRO, BLASTED, ANNOTATED]	3_39	MBW4493189.1	2592	1	6.91E-275	67.49	4	P:GO:0000160; P:GO:0006935; P:GO:0016310; F:GO:0016772	P:phosphorelay signal transduction system; P:chemotaxis; P:phosphorylation; F:transferase activity, transferring phosphorus-containing groups			IPR004358 (PRINTS); IPR008207 (SMART); IPR003594 (SMART); IPR002545 (SMART); IPR001789 (SMART); IPR036641 (G3DSA:1.20.120.GENE3D); IPR002545 (PFAM); IPR036890 (G3DSA:3.30.565.GENE3D); G3DSA:3.40.50.2300 (GENE3D); IPR008207 (PFAM); G3DSA:2.30.30.40 (GENE3D); IPR001789 (PFAM); IPR003594 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR43395:SF1 (PANTHER); PTHR43395 (PANTHER); IPR005467 (PROSITE_PROFILES); IPR008207 (PROSITE_PROFILES); IPR001789 (PROSITE_PROFILES); IPR002545 (PROSITE_PROFILES); IPR008207 (CDD); IPR036641 (SUPERFAMILY); IPR036061 (SUPERFAMILY); IPR011006 (SUPERFAMILY); IPR036890 (SUPERFAMILY)	P:GO:0000160; P:GO:0006935; P:GO:0007165; P:GO:0016310; F:GO:0016772	P:phosphorelay signal transduction system; P:chemotaxis; P:signal transduction; P:phosphorylation; F:transferase activity, transferring phosphorus-containing groups
true	[INTERPRO, BLASTED, ANNOTATED]	3_40	PSO99713.1	930	1	2.66E-109	66.27	3	P:GO:0009231; F:GO:0003919; F:GO:0008531	P:riboflavin biosynthetic process; F:FMN adenylyltransferase activity; F:riboflavin kinase activity			IPR015865 (SMART); IPR002606 (PIRSF); IPR015864 (PFAM); IPR015865 (PFAM); IPR014729 (G3DSA:3.40.50.GENE3D); IPR023465 (G3DSA:2.40.30.GENE3D); IPR002606 (TIGRFAM); IPR023468 (PANTHER); PTHR22749:SF11 (PANTHER); IPR015864 (CDD); IPR023465 (SUPERFAMILY); SSF52374 (SUPERFAMILY)	P:GO:0009231; F:GO:0003919; F:GO:0008531	P:riboflavin biosynthetic process; F:FMN adenylyltransferase activity; F:riboflavin kinase activity
true	[INTERPRO, BLASTED, ANNOTATED]	3_41	WP_193986269.1	1473	1	8.95E-255	79.14	1	F:GO:0004373	F:glycogen (starch) synthase activity			IPR001296 (PFAM); G3DSA:3.40.50.2000 (GENE3D); IPR013534 (PFAM); G3DSA:3.40.50.2000 (GENE3D); IPR011835 (TIGRFAM); PTHR46083 (PANTHER); PTHR46083:SF2 (PANTHER); IPR011835 (HAMAP); cd03791 (CDD); SSF53756 (SUPERFAMILY)	F:GO:0004373; F:GO:0016757	F:glycogen (starch) synthase activity; F:glycosyltransferase activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	3_42	WP_060832850.1	477	1	1.92E-77	83.54	2	F:GO:0016655; C:GO:0016020	F:oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor; C:membrane			IPR020874 (PFAM); IPR020874 (PANTHER); IPR020874 (HAMAP)	F:GO:0016655; C:GO:0016020	F:oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor; C:membrane
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	3_43	WP_002732356.1	117	1	4.55E-17	92.11	2	P:GO:0015979; C:GO:0009539	P:photosynthesis; C:photosystem II reaction center			IPR003686 (PFAM); IPR003686 (PANTHER); PTHR35772:SF1 (PANTHER); IPR003686 (HAMAP); IPR037271 (SUPERFAMILY)	P:GO:0015979; C:GO:0009523; C:GO:0009539; C:GO:0016020	P:photosynthesis; C:photosystem II; C:photosystem II reaction center; C:membrane
true	[INTERPRO, BLASTED]	3_44	WP_190820872.1	2463	1	4.65E-210	65.73						IPR022244 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR30189 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	3_45	WP_204138535.1	249	1	2.57E-36	89.02	3	P:GO:0006412; F:GO:0003735; C:GO:0005840	P:translation; F:structural constituent of ribosome; C:ribosome			IPR023803 (G3DSA:3.30.1320.GENE3D); IPR000307 (PFAM); IPR000307 (TIGRFAM); PTHR12919:SF38 (PANTHER); IPR000307 (PANTHER); IPR000307 (HAMAP); IPR023803 (SUPERFAMILY)	P:GO:0006412; F:GO:0003735; C:GO:0005840	P:translation; F:structural constituent of ribosome; C:ribosome
true	[INTERPRO, BLASTED]	3_46	WP_069790862.1	438	1	3.76E-32	68.46						PF13083 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); IPR020627 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	3_47	WP_079678367.1	1251	1	8.41E-180	80.0	2	P:GO:0009245; F:GO:0008915	P:lipid A biosynthetic process; F:lipid-A-disaccharide synthase activity			PTHR30372:SF4 (PANTHER); IPR003835 (PANTHER); SSF53756 (SUPERFAMILY)	P:GO:0009245; F:GO:0008915	P:lipid A biosynthetic process; F:lipid-A-disaccharide synthase activity
