yourlist:M20210906F248CABF64506F29A91F8037F07B67D11995558	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs
NES65344.1	A0A6P0XHW5	A0A6P0XHW5_9CYAN	unreviewed	IS607 family transposase	F6K24_08820	Okeania sp. SIO2D1	202	"DNA binding [GO:0003677]; recombinase activity [GO:0000150]; DNA integration [GO:0015074]; regulation of transcription, DNA-templated [GO:0006355]"	GO:0000150; GO:0003677; GO:0006355; GO:0015074
EAM49286.1	Q4BZF3	Q4BZF3_CROWT	unreviewed	Uncharacterized protein	CwatDRAFT_2269	Crocosphaera watsonii WH 8501	149		
EAM48959.1	Q4BYH6	Q4BYH6_CROWT	unreviewed	Tnp_DDE_dom domain-containing protein	CwatDRAFT_1929 CwatDRAFT_5466	Crocosphaera watsonii WH 8501	153		
EHJ11146.1	G5J9J0	G5J9J0_CROWT	unreviewed	Riboflavin biosynthesis intermediates N-glycosidase (Fragment)	CWATWH0003_4106b1	Crocosphaera watsonii WH 0003	155		
PIG91402.1	A0A2G7GEY5	A0A2G7GEY5_9CHRO	unreviewed	ANK_REP_REGION domain-containing protein	CSQ79_20825	Chroococcales cyanobacterium IPPAS B-1203	431		
BAZ29835.1	A0A1Z4QI11	A0A1Z4QI11_9NOST	unreviewed	Uncharacterized protein	NIES4074_22820	Cylindrospermum sp. NIES-4074	75		
NER07628.1	A0A6P0U7S3	A0A6P0U7S3_9CYAN	unreviewed	Cell division protein FtsZ	ftsZ F6K17_36225	Okeania sp. SIO3C4	425	cell division site [GO:0032153]; cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]; protein polymerization [GO:0051258]	GO:0000917; GO:0003924; GO:0005525; GO:0005737; GO:0032153; GO:0043093; GO:0051258
RLT91718.1	A0A3L8B6J6	A0A3L8B6J6_9GAMM	unreviewed	TIGR00266 family protein	D9N13_00155	Ketobacter sp. GenoA1	220		
GDY19725.1	A0A4P5YLF1	A0A4P5YLF1_9BACT	unreviewed	Uma2 domain-containing protein	LBMAG56_10700	Verrucomicrobia bacterium	157		
NJK73563.1	A0A7X6CJM2	A0A7X6CJM2_9CYAN	unreviewed	Cytochrome b6-f complex subunit IV	petD HC942_04635	Microcoleus sp. SU_5_6	160		
HAN72968.1	A0A3C1P6T5	A0A3C1P6T5_9CYAN	unreviewed	Uncharacterized protein	DCQ63_00715	Planktothrix sp. UBA8402	127		
EDX77279.1	B4VL16	B4VL16_9CYAN	unreviewed	PEP-CTERM putative exosortase interaction domain protein	MC7420_416	Coleofasciculus chthonoplastes PCC 7420	372		
NEQ88131.1	A0A6P0T005	A0A6P0T005_9CYAN	unreviewed	Uncharacterized protein	F6K26_51755	Moorea sp. SIO2I5	90		
PZV26097.1	A0A2W7B639	A0A2W7B639_9CYAN	unreviewed	Adenosine kinase	DCF12_11375	Snowella sp.	330	"kinase activity [GO:0016301]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]"	GO:0016301; GO:0016773
TVP65797.1	A0A6H2NK05	A0A6H2NK05_9CYAN	unreviewed	Branched-chain-amino-acid aminotransferase (BCAT) (EC 2.6.1.42)	ilvE EA342_13480	Leptolyngbya sp. LCM1.Bin17	304	L-isoleucine transaminase activity [GO:0052656]; L-leucine transaminase activity [GO:0052654]; L-leucine:2-oxoglutarate aminotransferase activity [GO:0050048]; L-valine transaminase activity [GO:0052655]; isoleucine biosynthetic process [GO:0009097]; leucine biosynthetic process [GO:0009098]; valine biosynthetic process [GO:0009099]	GO:0009097; GO:0009098; GO:0009099; GO:0050048; GO:0052654; GO:0052655; GO:0052656
RZK39366.1	A0A519TWJ7	A0A519TWJ7_9SPHI	unreviewed	Uncharacterized protein	EOO90_18955	Pedobacter sp.	311		
TVQ19802.1	A0A651DT67	A0A651DT67_9CYAN	unreviewed	Type I glutamate--ammonia ligase (EC 6.3.1.2)	glnA EA367_10410	Leptolyngbya sp. DLM2.Bin15	473	glutamate-ammonia ligase activity [GO:0004356]; glutamine biosynthetic process [GO:0006542]	GO:0004356; GO:0006542
TRU25238.1	A0A552DSL3	A0A552DSL3_MICAE	unreviewed	Polyketide synthase	EWV81_12370	Microcystis aeruginosa Ma_SC_T_19800800_S464	120	phosphopantetheine binding [GO:0031177]	GO:0031177
CUP77519.1	A0A174R504	A0A174R504_9FIRM	unreviewed	DNA helicase (EC 3.6.4.12)	ERS852523_02764	Blautia wexlerae	358	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]	GO:0003677; GO:0003678; GO:0005524
NEO28852.1	A0A6P0K3P6	A0A6P0K3P6_9CYAN	unreviewed	Cytosine-specific methyltransferase (EC 2.1.1.37) (Fragment)	dcm F6K03_18750	Kamptonema sp. SIO4C4	332	DNA (cytosine-5-)-methyltransferase activity [GO:0003886]; DNA restriction-modification system [GO:0009307]	GO:0003886; GO:0009307
TVQ41827.1	A0A6P2A771	A0A6P2A771_9CHRO	unreviewed	Chemotaxis protein CheW	EA365_16605	Gloeocapsa sp. DLM2.Bin57	164	chemotaxis [GO:0006935]; signal transduction [GO:0007165]	GO:0006935; GO:0007165
BBH38472.1	A0A3G9JEX2	A0A3G9JEX2_MICVR	unreviewed	Transposase	myaer102_09720	Microcystis viridis NIES-102	484	"DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]"	GO:0003677; GO:0004803; GO:0006313
EAM51338.1	Q4C5T8	Q4C5T8_CROWT	unreviewed	Similar to Transposase	CwatDRAFT_4457	Crocosphaera watsonii WH 8501	187	"DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]"	GO:0003677; GO:0004803; GO:0006313
HAJ59634.1	A0A3C0N528	A0A3C0N528_9CYAN	unreviewed	Chemotaxis protein	DCP31_10470	Cyanobacteria bacterium UBA8543	957	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane signaling receptor activity [GO:0004888]; chemotaxis [GO:0006935]; protein-chromophore linkage [GO:0018298]; signal transduction [GO:0007165]	GO:0004888; GO:0005886; GO:0006935; GO:0007165; GO:0016021; GO:0018298
OBQ03738.1	A0A1B7UVZ8	A0A1B7UVZ8_9NOST	unreviewed	Chemotaxis protein CheW	AN482_18825	Anabaena sp. LE011-02	166	chemotaxis [GO:0006935]; signal transduction [GO:0007165]	GO:0006935; GO:0007165
MBT66795.1	A0A2E9J1F3	A0A2E9J1F3_9SYNE	unreviewed	Aldehyde decarbonylase (AD) (EC 4.1.99.5) (Fatty aldehyde decarbonylase)	CMN98_06625	Synechococcus sp. NP17	242	aldehyde oxygenase (deformylating) activity [GO:1990465]; octadecanal decarbonylase activity [GO:0009924]; transition metal ion binding [GO:0046914]	GO:0009924; GO:0046914; GO:1990465
CDF00382.1	R7MKV6	R7MKV6_9CLOT	unreviewed	Prophage MuSo1 DNA transposition protein putative	BN790_00294	Clostridium sp. CAG:813	228		
KHD10203.1	A0A0A6PA38	A0A0A6PA38_9GAMM	unreviewed	Transcriptional regulator HU subunit alpha	PN36_06025	Candidatus Thiomargarita nelsonii	90	DNA binding [GO:0003677]	GO:0003677
NMB65622.1	A0A7X9DI23	A0A7X9DI23_9SPIR	unreviewed	Uncharacterized protein	GYA16_12225	Spirochaetes bacterium	98		
ABF60908.1	Q06VA5	Q06VA5_CROWT	unreviewed	Transposase (Fragment)		Crocosphaera watsonii WH 8501	202		
GDY10939.1	A0A4P5Y0B2	A0A4P5Y0B2_9BACT	unreviewed	IS66 family transposase ISH10B	LBMAG52_44270	Planctomycetia bacterium	516		
NEO59251.1	A0A6M0A8E9	A0A6M0A8E9_9CYAN	unreviewed	Uncharacterized protein	F6J98_02125	Moorea sp. SIO4G2	545		
AXK90438.1	A0A346A5Z3	A0A346A5Z3_9CAUD	unreviewed	Uncharacterized protein	CrV_gp026	Cylindrospermopsis raciborskii virus RM-2018a	128		
RNJ69194.1	A0A3M9Z9E8	A0A3M9Z9E8_9CYAN	unreviewed	Lysozyme (EC 3.2.1.17)	EDM05_11515	Leptolyngbya sp. IPPAS B-1204	171	host cell cytoplasm [GO:0030430]; lysozyme activity [GO:0003796]; cell wall macromolecule catabolic process [GO:0016998]; cytolysis [GO:0019835]; defense response to bacterium [GO:0042742]; peptidoglycan catabolic process [GO:0009253]	GO:0003796; GO:0009253; GO:0016998; GO:0019835; GO:0030430; GO:0042742
CCQ54254.1	T2IMV2	T2IMV2_CROWT	unreviewed	Uncharacterized protein	CWATWH0005_3434	Crocosphaera watsonii WH 0005	309		
CCQ69314.1	T2JW60	T2JW60_CROWT	unreviewed	Y1_Tnp domain-containing protein	CWATWH0402_5705	Crocosphaera watsonii WH 0402	160	"DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]"	GO:0003677; GO:0004803; GO:0006313
BAZ66441.1	A0A1Z4THJ8	A0A1Z4THJ8_9CYAN	unreviewed	Phospholipase/carboxylesterase	NIES4106_11930	Fischerella sp. NIES-4106	133		
NEP51981.1	A0A6P0NAX5	A0A6P0NAX5_9CYAN	unreviewed	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)	gatA F6K65_25570	Moorea sp. SIO3C2	489	glutamyl-tRNA(Gln) amidotransferase complex [GO:0030956]; ATP binding [GO:0005524]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567]; hydrolase activity [GO:0016787]; transferase activity [GO:0016740]; translation [GO:0006412]	GO:0005524; GO:0006412; GO:0016740; GO:0016787; GO:0030956; GO:0050567
EAM50428.1	Q4C2P5	Q4C2P5_CROWT	unreviewed	Uncharacterized protein	CwatDRAFT_3272	Crocosphaera watsonii WH 8501	93		
TRV11575.1	A0A552KUK1	A0A552KUK1_9CHRO	unreviewed	Uncharacterized protein	EWV45_11175	Microcystis flos-aquae Mf_QC_C_20070823_S10D	92		
REJ38819.1	A0A3E0KU55	A0A3E0KU55_9CHRO	unreviewed	Rpn family recombination-promoting nuclease/putative transposase	DWQ54_24010	Microcystis flos-aquae TF09	276		
NEZ66722.1	A0A6M0SGI6	A0A6M0SGI6_9CYAN	unreviewed	Uncharacterized protein	D0962_28860	Leptolyngbyaceae cyanobacterium CCMR0082	105		
OCQ89083.1	A0A1C0UU84	A0A1C0UU84_9NOSO	unreviewed	Uncharacterized protein	BCD64_04510	Nostoc sp. MBR 210	71		
TRU99083.1	A0A552JTJ5	A0A552JTJ5_9CHRO	unreviewed	Shikimate dehydrogenase	EWV75_05685	Microcystis wesenbergii Mw_QC_S_20081001_S30D	97	integral component of membrane [GO:0016021]	GO:0016021
NEP02072.1	A0A6B3MAM6	A0A6B3MAM6_9CYAN	unreviewed	Uncharacterized protein	F6K58_26140	Symploca sp. SIO2E9	159		
TRU43938.1	A0A552FB33	A0A552FB33_MICAE	unreviewed	YqeG family HAD IIIA-type phosphatase	EWV57_23515	Microcystis aeruginosa Ma_QC_Ch_20071001_S25D	184	phosphatidylglycerophosphatase activity [GO:0008962]	GO:0008962
NET88305.1	A0A6P1ABZ7	A0A6P1ABZ7_9CYAN	unreviewed	Uncharacterized protein	F6K45_09455	Kamptonema sp. SIO1D9	61		
HBK98868.1	A0A355CLJ2	A0A355CLJ2_9CYAN	unreviewed	Uncharacterized protein	DD001_16890	Microcoleaceae bacterium UBA10368	183	integral component of membrane [GO:0016021]	GO:0016021
EKQ70717.1	K8GNY3	K8GNY3_9CYAN	unreviewed	Uncharacterized protein	OsccyDRAFT_1022	Leptolyngbyaceae cyanobacterium JSC-12	156	integral component of membrane [GO:0016021]	GO:0016021
HAA26796.1	A0A3B8JDJ5	A0A3B8JDJ5_9CYAN	unreviewed	Glycosyltransferase	DCE56_02810	Cyanobacteria bacterium UBA8553	260	transferase activity [GO:0016740]; biosynthetic process [GO:0009058]	GO:0009058; GO:0016740
OGV52453.1	A0A1G0Z2N4	A0A1G0Z2N4_9BACT	unreviewed	AlbA_2 domain-containing protein	A2X45_01260	Lentisphaerae bacterium GWF2_50_93	393		
VEP13500.1	A0A563VQ15	A0A563VQ15_9CYAN	unreviewed	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	carB H1P_200032	Hyella patelloides LEGE 07179	1099	ATP binding [GO:0005524]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; metal ion binding [GO:0046872]; 'de novo' UMP biosynthetic process [GO:0044205]; arginine biosynthetic process [GO:0006526]	GO:0004088; GO:0005524; GO:0006526; GO:0044205; GO:0046872
NET62261.1	A0A6M0GDY9	A0A6M0GDY9_9CYAN	unreviewed	Transferase hexapeptide repeat containing protein	F6K47_40995	Symploca sp. SIO2E6	73	transferase activity [GO:0016740]	GO:0016740
HBJ85965.1	A0A354TEH1	A0A354TEH1_9BACT	unreviewed	Uncharacterized protein	DDZ88_19270	Verrucomicrobiales bacterium	85		
PZV27518.1	A0A2W7BDZ1	A0A2W7BDZ1_9CYAN	unreviewed	Uncharacterized protein	DCF12_03670	Snowella sp.	74		
REJ47911.1	A0A3E0LK55	A0A3E0LK55_9CHRO	unreviewed	AarF/ABC1/UbiB kinase family protein	DWQ51_19690	Microcystis wesenbergii TW10	572	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524; GO:0016021
AFY60201.1	K9RRN1	K9RRN1_SYNP3	unreviewed	Uncharacterized protein	Syn6312_1001	Synechococcus sp. (strain ATCC 27167 / PCC 6312)	92		
MTI89714.1	A0A6A8QAR0	A0A6A8QAR0_9BACT	unreviewed	Type II toxin-antitoxin system RelE/ParE family toxin	FH748_17315	Balneolaceae bacterium	117		
NEQ59599.1	A0A6B3MXQ0	A0A6B3MXQ0_9CYAN	unreviewed	Uncharacterized protein	F6K53_20225	Moorea sp. SIO4A1	96		
CAA9259814.1	A0A6J4ISR3	A0A6J4ISR3_9CYAN	unreviewed	Uncharacterized protein slr1624	AVDCRST_MAG92-2410	uncultured Coleofasciculus sp.	593		
NEN93188.1	A0A6P0I5M0	A0A6P0I5M0_9CYAN	unreviewed	IS200/IS605 family element transposase accessory protein TnpB (Fragment)	tnpB F6K48_31605	Okeania sp. SIO3H1	206	DNA binding [GO:0003677]; DNA recombination [GO:0006310]; transposition [GO:0032196]	GO:0003677; GO:0006310; GO:0032196
REJ41086.1	A0A3E0L150	A0A3E0L150_9CHRO	unreviewed	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	murG DWQ54_15545	Microcystis flos-aquae TF09	357	"plasma membrane [GO:0005886]; UDP-N-acetyl-D-glucosamine:N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenol 4-beta-N-acetylglucosaminlytransferase activity [GO:0051991]; undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity [GO:0050511]; carbohydrate metabolic process [GO:0005975]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; lipid glycosylation [GO:0030259]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]"	GO:0005886; GO:0005975; GO:0007049; GO:0008360; GO:0009252; GO:0030259; GO:0050511; GO:0051301; GO:0051991; GO:0071555
BAZ03625.1	A0A1Z4ND68	A0A1Z4ND68_9CYAN	unreviewed	Uncharacterized protein	NIES3974_02540	Calothrix sp. NIES-3974	273		
RUT04450.1	A0A3S1CKE1	A0A3S1CKE1_9CYAN	unreviewed	Uncharacterized protein	DSM106972_046780	Calothrix desertica PCC 7102	135		
CCE18078.1	H1WEU6	H1WEU6_9CYAN	unreviewed	Putative Group II intron-encoded protein LtrA-like (EC 2.7.7.49) (EC 3.1.-.-)	ARTHRO_310006	Limnospira indica PCC 8005	337	endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003676; GO:0003964; GO:0004519
NET91572.1	A0A6P1APF9	A0A6P1APF9_9CYAN	unreviewed	Potassium channel protein	F6K45_26470	Kamptonema sp. SIO1D9	327	integral component of membrane [GO:0016021]; cation transmembrane transporter activity [GO:0008324]; potassium ion transport [GO:0006813]	GO:0006813; GO:0008324; GO:0016021
TRT52771.1	A0A551XVN3	A0A551XVN3_MICAE	unreviewed	FAD-binding oxidoreductase	EWV85_15095	Microcystis aeruginosa Ma_QC_C_20070703_M131	428	FAD binding [GO:0071949]; oxidoreductase activity [GO:0016491]	GO:0016491; GO:0071949
EKQ68082.1	K8GGK6	K8GGK6_9CYAN	unreviewed	Uncharacterized protein	OsccyDRAFT_2594	Leptolyngbyaceae cyanobacterium JSC-12	89		
MBJ51715.1	A0A2E6B6S6	A0A2E6B6S6_9GAMM	unreviewed	FAD_binding_3 domain-containing protein	CMQ47_08170	Gammaproteobacteria bacterium	397	FAD binding [GO:0071949]	GO:0071949
NEO12002.1	A0A6L9YDU4	A0A6L9YDU4_9CYAN	unreviewed	DUF2656 domain-containing protein	F6K46_06445	Moorea sp. SIO3E8	160		
NET87527.1	A0A6P1A8T7	A0A6P1A8T7_9CYAN	unreviewed	Non-specific serine/threonine protein kinase (EC 2.7.11.1)	F6K45_05390	Kamptonema sp. SIO1D9	442	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	GO:0005524; GO:0106310; GO:0106311
NEO25442.1	A0A6P0JU85	A0A6P0JU85_9CYAN	unreviewed	Alpha/beta fold hydrolase	F6K03_00725	Kamptonema sp. SIO4C4	627	1-alkyl-2-acetylglycerophosphocholine esterase activity [GO:0003847]; lipid catabolic process [GO:0016042]	GO:0003847; GO:0016042
TVP61441.1	A0A6H2NG54	A0A6H2NG54_9CYAN	unreviewed	Spore maturation protein	EA342_20775	Leptolyngbya sp. LCM1.Bin17	449	integral component of membrane [GO:0016021]	GO:0016021
NEQ56871.1	A0A6B3MHJ4	A0A6B3MHJ4_9CYAN	unreviewed	Glycosyltransferase	F6K53_05370	Moorea sp. SIO4A1	407	"transferase activity, transferring glycosyl groups [GO:0016757]"	GO:0016757
OLT63538.1	A0A1U7NC64	A0A1U7NC64_9CYAN	unreviewed	Phycobilisome linker polypeptide	BJP37_28180	Moorea bouillonii PNG	350	phycobilisome [GO:0030089]; photosynthesis [GO:0015979]	GO:0015979; GO:0030089
AVH70724.1	A0A2L2NP85	A0A2L2NP85_9NOSO	unreviewed	Dihydrobiliverdin:ferredoxin oxidoreductase	NLP_1989	Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont'	260	"cobalt ion binding [GO:0050897]; oxidoreductase activity, acting on the CH-CH group of donors, iron-sulfur protein as acceptor [GO:0016636]; phytochromobilin biosynthetic process [GO:0010024]"	GO:0010024; GO:0016636; GO:0050897
HBE21193.1	A0A352XGP4	A0A352XGP4_9CYAN	unreviewed	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase)	pepA DDW51_27280	Cyanobacteria bacterium UBA11367	497	cytoplasm [GO:0005737]; manganese ion binding [GO:0030145]; metalloaminopeptidase activity [GO:0070006]	GO:0005737; GO:0030145; GO:0070006
EHJ14117.1	G5J114	G5J114_CROWT	unreviewed	Uncharacterized protein	CWATWH0003_1201	Crocosphaera watsonii WH 0003	69		
OCR00237.1	A0A1C0VR34	A0A1C0VR34_9CYAN	unreviewed	Uncharacterized protein	BCD67_24845	Oscillatoriales cyanobacterium USR001	145		
VUT25838.1	A0A564Q573	A0A564Q573_9EURY	unreviewed	Resolvase/invertase-type recombinase catalytic domain-containing protein	MOIL_01254	Candidatus Methanolliviera sp. GoM_oil	195	DNA binding [GO:0003677]; recombinase activity [GO:0000150]; DNA integration [GO:0015074]	GO:0000150; GO:0003677; GO:0015074
TRU32983.1	A0A552EEY4	A0A552EEY4_MICAE	unreviewed	DNA polymerase III subunit gamma/tau (EC 2.7.7.7)	dnaX EWV78_16470	Microcystis aeruginosa Ma_MB_F_20061100_S20D	654	DNA polymerase III complex [GO:0009360]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; DNA replication [GO:0006260]	GO:0003677; GO:0003887; GO:0005524; GO:0006260; GO:0009360
NMN46066.1	A0A7Y0INK3	A0A7Y0INK3_9CYAN	unreviewed	Primosomal protein N' (Replication factor Y) (EC 3.6.4.-)	Chr6712_001931	Chroococcidiopsis sp. PCC 6712	853		
OBQ45695.1	A0A1B7X8H0	A0A1B7X8H0_APHFL	unreviewed	Uncharacterized protein	AN484_00355	Aphanizomenon flos-aquae WA102	248		
NEO99233.1	A0A6B3M3W2	A0A6B3M3W2_9CYAN	unreviewed	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase)	F6K58_11230	Symploca sp. SIO2E9	431	"(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity [GO:0070626]; N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity [GO:0004018]; 'de novo' AMP biosynthetic process [GO:0044208]; 'de novo' IMP biosynthetic process [GO:0006189]"	GO:0004018; GO:0006189; GO:0044208; GO:0070626
CAO91148.1	A8YLT0	A8YLT0_MICAE	unreviewed	"Genome sequencing data, contig C326"	IPF_7052	Microcystis aeruginosa PCC 7806	418	"DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]"	GO:0003677; GO:0004803; GO:0006313
NER20422.1	A0A6P0V1Q9	A0A6P0V1Q9_9CYAN	unreviewed	Uma2 family endonuclease	F6J96_06810	Symploca sp. SIO1C2	187	endonuclease activity [GO:0004519]	GO:0004519
PSB46750.1	A0A2T1FP44	A0A2T1FP44_9CHRO	unreviewed	Prepilin-type cleavage/methylation domain-containing protein	C7B80_12125	Cyanosarcina cf. burmensis CCALA 770	180	integral component of membrane [GO:0016021]; type II protein secretion system complex [GO:0015627]; protein secretion by the type II secretion system [GO:0015628]	GO:0015627; GO:0015628; GO:0016021
AUC61348.1	A0A2K8WQF2	A0A2K8WQF2_9CHRO	unreviewed	ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	atpD atpB AA637_09380	Cyanobacterium sp. HL-69	482	"plasma membrane-derived thylakoid membrane [GO:0031676]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]"	GO:0005524; GO:0016787; GO:0031676; GO:0045261; GO:0046933; GO:0046961
REJ56090.1	A0A3E0M8I0	A0A3E0M8I0_9CHRO	unreviewed	FkbM family methyltransferase	DWQ51_04035	Microcystis wesenbergii TW10	244	methyltransferase activity [GO:0008168]; methylation [GO:0032259]	GO:0008168; GO:0032259
CCI00353.1	I4FXE2	I4FXE2_MICAE	unreviewed	Transposase	MICAB_7820001	Microcystis aeruginosa PCC 9717	189		
HDL20960.1	A0A7C1AF85	A0A7C1AF85_9BACT	unreviewed	Choice-of-anchor D domain-containing protein	ENH30_06760	Nitrospirae bacterium	1116	cytoplasm [GO:0005737]; serine-type endopeptidase activity [GO:0004252]	GO:0004252; GO:0005737
AVA14121.1	A0A2L0VQC8	A0A2L0VQC8_9SPHN	unreviewed	Staphylococcus aureus surface protein A	C3E99_09965	Sphingopyxis sp. MG	12384	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; polysaccharide catabolic process [GO:0000272]	GO:0000272; GO:0005509; GO:0007156; GO:0016021
BAZ65751.1	A0A1Z4TUA3	A0A1Z4TUA3_9CYAN	unreviewed	HTH_Tnp_4 domain-containing protein	NIES4106_04960 NIES4106_23240 NIES4106_38460 NIES4106_41040 NIES4106_42100 NIES4106_46420 NIES4106_50920 NIES4106_53640	Fischerella sp. NIES-4106	126		
BAQ62443.1	A0A0D6AI11	A0A0D6AI11_9CHRO	unreviewed	Probable 30S ribosomal protein PSRP-3 (Ycf65-like protein)	GM3708_2849	Geminocystis sp. NIES-3708	107	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412
