"","gene_id","KO","GO.ID","GO.Term","GO.Ontology"
"32","K03687","K03687","GO:0000774","adenyl-nucleotide exchange factor activity","MF"
"33","K03687","K03687","GO:0042803","protein homodimerization activity","MF"
"34","K03687","K03687","GO:0051087","chaperone binding","MF"
"35","K07304","K07304","GO:0008113","peptide-methionine (S)-S-oxide reductase activity","MF"
"36","K00464","K00464","GO:0016702","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen","MF"
"37","K00464","K00464","GO:0046872","metal ion binding","MF"
"38","K07496","K07496","GO:0009987","cellular process","BP"
"39","K07496","K07496","GO:0003677","DNA binding","MF"
"40","K07496","K07496","GO:0006310","DNA recombination","BP"
"41","K07496","K07496","GO:0032196","transposition","BP"
"42","K02954","K02954","GO:0006412","translation","BP"
"43","K02954","K02954","GO:0003735","structural constituent of ribosome","MF"
"44","K02954","K02954","GO:0005840","ribosome","CC"
"45","K02954","K02954","GO:0019843","rRNA binding","MF"
"46","K00684","K00684","GO:0030163","protein catabolic process","BP"
"47","K00684","K00684","GO:0008914","leucyltransferase activity","MF"
"48","K00930","K00930","GO:0006526","arginine biosynthetic process","BP"
"49","K00930","K00930","GO:0003991","acetylglutamate kinase activity","MF"
"50","K00930","K00930","GO:0005737","cytoplasm","CC"
"51","K03525","K03525","GO:0004594","pantothenate kinase activity","MF"
"52","K22615","K22615","GO:0016020","membrane","CC"
"53","K22615","K22615","GO:0016021","integral component of membrane","CC"
"54","K17979","K17979","GO:0016021","integral component of membrane","CC"
"55","K03695","K03695","GO:0009408","response to heat","BP"
"56","K03695","K03695","GO:0042026","protein refolding","BP"
"57","K03695","K03695","GO:0005524","ATP binding","MF"
"58","K03695","K03695","GO:0016887","ATPase activity","MF"
"59","K03695","K03695","GO:0005737","cytoplasm","CC"
"60","K07339","K07339","GO:0003729","mRNA binding","MF"
"61","K07339","K07339","GO:0004519","endonuclease activity","MF"
"62","K07339","K07339","GO:0004518","nuclease activity","MF"
"63","K00088","K00088","GO:0006164","purine nucleotide biosynthetic process","BP"
"64","K00088","K00088","GO:0003938","IMP dehydrogenase activity","MF"
"65","K00088","K00088","GO:0003824","catalytic activity","MF"
"66","K00088","K00088","GO:0016491","oxidoreductase activity","MF"
"67","K09800","K09800","GO:0009306","protein secretion","BP"
"68","K09800","K09800","GO:0005887","integral component of plasma membrane","CC"
"69","K03298","K03298","GO:0016021","integral component of membrane","CC"
"70","K03298","K03298","GO:0016020","membrane","CC"
"71","K13507","K13507","GO:0016746","transferase activity, transferring acyl groups","MF"
"72","K01783","K01783","GO:0005975","carbohydrate metabolic process","BP"
"73","K01783","K01783","GO:0006098","pentose-phosphate shunt","BP"
"74","K01783","K01783","GO:0004750","ribulose-phosphate 3-epimerase activity","MF"
"75","K01783","K01783","GO:0003824","catalytic activity","MF"
"76","K01783","K01783","GO:0016857","racemase and epimerase activity, acting on carbohydrates and derivatives","MF"
"77","K01783","K01783","GO:0019323","pentose catabolic process","BP"
"78","K01783","K01783","GO:0046872","metal ion binding","MF"
"79","K00872","K00872","GO:0006566","threonine metabolic process","BP"
"80","K00872","K00872","GO:0004413","homoserine kinase activity","MF"
"81","K00872","K00872","GO:0005524","ATP binding","MF"
"82","K00872","K00872","GO:0005737","cytoplasm","CC"
"83","K00872","K00872","GO:0009088","threonine biosynthetic process","BP"
"84","K03625","K03625","GO:0006353","DNA-templated transcription, termination","BP"
"85","K03625","K03625","GO:0006355","regulation of transcription, DNA-templated","BP"
"86","K03625","K03625","GO:0003723","RNA binding","MF"
"87","K03625","K03625","GO:0031564","transcription antitermination","BP"
"88","K18890","K18890","GO:0055085","transmembrane transport","BP"
"89","K18890","K18890","GO:0005524","ATP binding","MF"
"90","K18890","K18890","GO:0140359","ABC-type transporter activity","MF"
"91","K18890","K18890","GO:0016021","integral component of membrane","CC"
"92","K13490","K13490","GO:0000160","phosphorelay signal transduction system","BP"
"93","K13490","K13490","GO:0006935","chemotaxis","BP"
"94","K13490","K13490","GO:0016310","phosphorylation","BP"
"95","K13490","K13490","GO:0016772","transferase activity, transferring phosphorus-containing groups","MF"
"96","K13490","K13490","GO:0007165","signal transduction","BP"
"97","K11753","K11753","GO:0009231","riboflavin biosynthetic process","BP"
"98","K11753","K11753","GO:0003919","FMN adenylyltransferase activity","MF"
"99","K11753","K11753","GO:0008531","riboflavin kinase activity","MF"
"100","K00703","K00703","GO:0004373","glycogen (starch) synthase activity","MF"
"101","K00703","K00703","GO:0016757","transferase activity, transferring glycosyl groups","MF"
"102","K05585","K05585","GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","MF"
"103","K05585","K05585","GO:0016020","membrane","CC"
"104","K05585","K05585","GO:0031676","plasma membrane-derived thylakoid membrane","CC"
"105","K05585","K05585","GO:0048038","quinone binding","MF"
"106","K02710","K02710","GO:0015979","photosynthesis","BP"
"107","K02710","K02710","GO:0009539","photosystem II reaction center","CC"
"108","K02710","K02710","GO:0009523","photosystem II","CC"
"109","K02710","K02710","GO:0016020","membrane","CC"
"110","K02710","K02710","GO:0016021","integral component of membrane","CC"
"111","K02710","K02710","GO:0031676","plasma membrane-derived thylakoid membrane","CC"
"112","K02959","K02959","GO:0006412","translation","BP"
"113","K02959","K02959","GO:0003735","structural constituent of ribosome","MF"
"114","K02959","K02959","GO:0005840","ribosome","CC"
"115","K00748","K00748","GO:0009245","lipid A biosynthetic process","BP"
"116","K00748","K00748","GO:0008915","lipid-A-disaccharide synthase activity","MF"
"117","K04772","K04772","GO:0006508","proteolysis","BP"
"118","K04772","K04772","GO:0004252","serine-type endopeptidase activity","MF"
"119","K04772","K04772","GO:0005515","protein binding","MF"
"120","K03327","K03327","GO:0055085","transmembrane transport","BP"
"121","K03327","K03327","GO:0015297","antiporter activity","MF"
"122","K03327","K03327","GO:0042910","xenobiotic transmembrane transporter activity","MF"
"123","K03327","K03327","GO:0016020","membrane","CC"
"124","K03327","K03327","GO:0016021","integral component of membrane","CC"
"125","K08696","K08696","GO:0031469","polyhedral organelle","CC"
"126","K08696","K08696","GO:0015977","carbon fixation","BP"
"127","K08696","K08696","GO:0031470","carboxysome","CC"
"128","K03455","K03455","GO:0006812","cation transport","BP"
"129","K03455","K03455","GO:0055085","transmembrane transport","BP"
"130","K03455","K03455","GO:0015299","solute:proton antiporter activity","MF"
"131","K03455","K03455","GO:0016021","integral component of membrane","CC"
"132","K03455","K03455","GO:0006813","potassium ion transport","BP"
"133","K16669","K16669","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","BP"
"134","K16669","K16669","GO:0005509","calcium ion binding","MF"
"135","K16669","K16669","GO:0016020","membrane","CC"
"136","K02919","K02919","GO:0006412","translation","BP"
"137","K02919","K02919","GO:0003735","structural constituent of ribosome","MF"
"138","K02919","K02919","GO:0005840","ribosome","CC"
"139","K03631","K03631","GO:0006281","DNA repair","BP"
"140","K03631","K03631","GO:0006310","DNA recombination","BP"
"141","K03631","K03631","GO:0005524","ATP binding","MF"
"142","K00919","K00919","GO:0016114","terpenoid biosynthetic process","BP"
"143","K00919","K00919","GO:0005524","ATP binding","MF"
"144","K00919","K00919","GO:0050515","4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity","MF"
"145","K00919","K00919","GO:0019288","isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway","BP"
"146","K15503","K15503","GO:0005515","protein binding","MF"
"147","K03531","K03531","GO:0003924","GTPase activity","MF"
"148","K03531","K03531","GO:0005525","GTP binding","MF"
"149","K03531","K03531","GO:0000917","division septum assembly","BP"
"150","K03531","K03531","GO:0005737","cytoplasm","CC"
"151","K03531","K03531","GO:0032153","cell division site","CC"
"152","K03531","K03531","GO:0043093","FtsZ-dependent cytokinesis","BP"
"153","K03531","K03531","GO:0051258","protein polymerization","BP"
"154","K03839","K03839","GO:0010181","FMN binding","MF"
"155","K03839","K03839","GO:0010106","cellular response to iron ion starvation","BP"
"156","K03839","K03839","GO:0022900","electron transport chain","BP"
"157","K03839","K03839","GO:0005515","protein binding","MF"
"158","K03839","K03839","GO:0009055","electron transfer activity","MF"
"159","K00457","K00457","GO:0009072","aromatic amino acid family metabolic process","BP"
"160","K00457","K00457","GO:0003868","4-hydroxyphenylpyruvate dioxygenase activity","MF"
"161","K00457","K00457","GO:0016701","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen","MF"
"162","K00005","K00005","GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","MF"
"163","K00005","K00005","GO:0046872","metal ion binding","MF"
"164","K00005","K00005","GO:0016491","oxidoreductase activity","MF"
"165","K02637","K02637","GO:0009767","photosynthetic electron transport chain","BP"
"166","K02637","K02637","GO:0045156","electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity","MF"
"167","K02637","K02637","GO:0042651","thylakoid membrane","CC"
"168","K02637","K02637","GO:0009055","electron transfer activity","MF"
"169","K02637","K02637","GO:0016491","oxidoreductase activity","MF"
"170","K02637","K02637","GO:0016020","membrane","CC"
"171","K02635","K02635","GO:0022904","respiratory electron transport chain","BP"
"172","K02635","K02635","GO:0009055","electron transfer activity","MF"
"173","K02635","K02635","GO:0016020","membrane","CC"
"174","K02635","K02635","GO:0016491","oxidoreductase activity","MF"
"175","K02635","K02635","GO:0015979","photosynthesis","BP"
"176","K02635","K02635","GO:0016021","integral component of membrane","CC"
"177","K02635","K02635","GO:0031676","plasma membrane-derived thylakoid membrane","CC"
"178","K02635","K02635","GO:0045158","electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity","MF"
"179","K02635","K02635","GO:0046872","metal ion binding","MF"
"180","K00891","K00891","GO:0008652","cellular amino acid biosynthetic process","BP"
"181","K00891","K00891","GO:0009073","aromatic amino acid family biosynthetic process","BP"
"182","K00891","K00891","GO:0009423","chorismate biosynthetic process","BP"
"183","K00891","K00891","GO:0016310","phosphorylation","BP"
"184","K00891","K00891","GO:0000287","magnesium ion binding","MF"
"185","K00891","K00891","GO:0004765","shikimate kinase activity","MF"
"186","K00891","K00891","GO:0005524","ATP binding","MF"
"187","K00891","K00891","GO:0005737","cytoplasm","CC"
"188","K05383","K05383","GO:0017009","protein-phycocyanobilin linkage","BP"
"189","K05383","K05383","GO:0016829","lyase activity","MF"
"190","K00254","K00254","GO:0006207","'de novo' pyrimidine nucleobase biosynthetic process","BP"
"191","K00254","K00254","GO:0004152","dihydroorotate dehydrogenase activity","MF"
"192","K00254","K00254","GO:0005737","cytoplasm","CC"
"193","K00254","K00254","GO:0016020","membrane","CC"
"194","K00254","K00254","GO:0003824","catalytic activity","MF"
"195","K00254","K00254","GO:0016627","oxidoreductase activity, acting on the CH-CH group of donors","MF"
"196","K07679","K07679","GO:0007165","signal transduction","BP"
"197","K07679","K07679","GO:0016310","phosphorylation","BP"
"198","K07679","K07679","GO:0000155","phosphorelay sensor kinase activity","MF"
"199","K07679","K07679","GO:0005515","protein binding","MF"
"200","K07679","K07679","GO:0016772","transferase activity, transferring phosphorus-containing groups","MF"
"201","K07679","K07679","GO:0005524","ATP binding","MF"
"202","K07679","K07679","GO:0006355","regulation of transcription, DNA-templated","BP"
"203","K07679","K07679","GO:0000160","phosphorelay signal transduction system","BP"
"204","K07679","K07679","GO:0016021","integral component of membrane","CC"
"205","K13963","K13963","GO:0004867","serine-type endopeptidase inhibitor activity","MF"
"206","K13963","K13963","GO:0005615","extracellular space","CC"
"207","K03559","K03559","GO:0055085","transmembrane transport","BP"
"208","K03559","K03559","GO:0022857","transmembrane transporter activity","MF"
"209","K03559","K03559","GO:0016020","membrane","CC"
"210","K03559","K03559","GO:0005886","plasma membrane","CC"
"211","K03559","K03559","GO:0015031","protein transport","BP"
"212","K03559","K03559","GO:0016021","integral component of membrane","CC"
"213","K09667","K09667","GO:0005515","protein binding","MF"
"214","K09667","K09667","GO:0006493","protein O-linked glycosylation","BP"
"215","K09667","K09667","GO:0016757","transferase activity, transferring glycosyl groups","MF"
"216","K09667","K09667","GO:0016021","integral component of membrane","CC"
"217","K09667","K09667","GO:0004672","protein kinase activity","MF"
"218","K09667","K09667","GO:0005524","ATP binding","MF"
"219","K09667","K09667","GO:0015979","photosynthesis","BP"
"220","K09667","K09667","GO:0031676","plasma membrane-derived thylakoid membrane","CC"
"221","K09667","K09667","GO:0008318","protein prenyltransferase activity","MF"
"222","K09667","K09667","GO:0018342","protein prenylation","BP"
"223","K02040","K02040","GO:0042301","phosphate ion binding","MF"
"224","K02040","K02040","GO:0035435","phosphate ion transmembrane transport","BP"
"225","K02040","K02040","GO:0043190","ATP-binding cassette (ABC) transporter complex","CC"
"226","K02040","K02040","GO:0016021","integral component of membrane","CC"
"227","K02037","K02037","GO:0006817","phosphate ion transport","BP"
"228","K02037","K02037","GO:0055085","transmembrane transport","BP"
"229","K02037","K02037","GO:0005315","inorganic phosphate transmembrane transporter activity","MF"
"230","K02037","K02037","GO:0016021","integral component of membrane","CC"
"231","K02037","K02037","GO:0016020","membrane","CC"
"232","K02038","K02038","GO:0035435","phosphate ion transmembrane transport","BP"
"233","K02038","K02038","GO:0005315","inorganic phosphate transmembrane transporter activity","MF"
"234","K02038","K02038","GO:0005887","integral component of plasma membrane","CC"
"235","K02038","K02038","GO:0055085","transmembrane transport","BP"
"236","K02038","K02038","GO:0016020","membrane","CC"
"237","K02036","K02036","GO:0035435","phosphate ion transmembrane transport","BP"
"238","K02036","K02036","GO:0005315","inorganic phosphate transmembrane transporter activity","MF"
"239","K02036","K02036","GO:0005524","ATP binding","MF"
"240","K02036","K02036","GO:0015415","ATPase-coupled phosphate ion transmembrane transporter activity","MF"
"241","K02036","K02036","GO:0016020","membrane","CC"
"242","K02036","K02036","GO:0006817","phosphate ion transport","BP"
"243","K02036","K02036","GO:0005886","plasma membrane","CC"
"244","K14394","K14394","GO:0006470","protein dephosphorylation","BP"
"245","K14394","K14394","GO:0004725","protein tyrosine phosphatase activity","MF"
"246","K10301","K10301","GO:0005515","protein binding","MF"
"247","K20402","K20402","GO:0035556","intracellular signal transduction","BP"
"248","K00943","K00943","GO:0006233","dTDP biosynthetic process","BP"
"249","K00943","K00943","GO:0004798","thymidylate kinase activity","MF"
"250","K00943","K00943","GO:0005524","ATP binding","MF"
"251","K03827","K03827","GO:0008080","N-acetyltransferase activity","MF"
"252","K03686","K03686","GO:0006457","protein folding","BP"
"253","K03686","K03686","GO:0009408","response to heat","BP"
"254","K03686","K03686","GO:0005524","ATP binding","MF"
"255","K03686","K03686","GO:0031072","heat shock protein binding","MF"
"256","K03686","K03686","GO:0051082","unfolded protein binding","MF"
"257","K00392","K00392","GO:0016740","transferase activity","MF"
"258","K00392","K00392","GO:0020037","heme binding","MF"
"259","K00392","K00392","GO:0050311","sulfite reductase (ferredoxin) activity","MF"
"260","K00392","K00392","GO:0051539","4 iron, 4 sulfur cluster binding","MF"
"261","K00392","K00392","GO:0016491","oxidoreductase activity","MF"
"262","K00392","K00392","GO:0051536","iron-sulfur cluster binding","MF"
"263","K03453","K03453","GO:0016020","membrane","CC"
"264","K03655","K03655","GO:0006281","DNA repair","BP"
"265","K03655","K03655","GO:0006310","DNA recombination","BP"
"266","K03655","K03655","GO:0003676","nucleic acid binding","MF"
"267","K03655","K03655","GO:0003678","DNA helicase activity","MF"
"268","K03655","K03655","GO:0005524","ATP binding","MF"
"269","K07259","K07259","GO:0006508","proteolysis","BP"
"270","K07259","K07259","GO:0004185","serine-type carboxypeptidase activity","MF"
"271","K00852","K00852","GO:0016310","phosphorylation","BP"
"272","K00852","K00852","GO:0016301","kinase activity","MF"
"273","K00852","K00852","GO:0016773","phosphotransferase activity, alcohol group as acceptor","MF"
"274","K00852","K00852","GO:0006014","D-ribose metabolic process","BP"
"275","K00852","K00852","GO:0004747","ribokinase activity","MF"
"276","K00852","K00852","GO:0005975","carbohydrate metabolic process","BP"
"277","K10914","K10914","GO:0006355","regulation of transcription, DNA-templated","BP"
"278","K10914","K10914","GO:0003677","DNA binding","MF"
"279","K04771","K04771","GO:0005515","protein binding","MF"
"280","K04771","K04771","GO:0006508","proteolysis","BP"
"281","K04771","K04771","GO:0004252","serine-type endopeptidase activity","MF"
"282","K04771","K04771","GO:0008236","serine-type peptidase activity","MF"
"283","K00826","K00826","GO:0009097","isoleucine biosynthetic process","BP"
"284","K00826","K00826","GO:0009098","leucine biosynthetic process","BP"
"285","K00826","K00826","GO:0009099","valine biosynthetic process","BP"
"286","K00826","K00826","GO:0050048","L-leucine:2-oxoglutarate aminotransferase activity","MF"
"287","K00826","K00826","GO:0052654","L-leucine transaminase activity","MF"
"288","K00826","K00826","GO:0052655","L-valine transaminase activity","MF"
"289","K00826","K00826","GO:0052656","L-isoleucine transaminase activity","MF"
"290","K00826","K00826","GO:0009081","branched-chain amino acid metabolic process","BP"
"291","K00826","K00826","GO:0003824","catalytic activity","MF"
"292","K00826","K00826","GO:0004084","branched-chain-amino-acid transaminase activity","MF"
"293","K20712","K20712","GO:0006542","glutamine biosynthetic process","BP"
"294","K20712","K20712","GO:0004356","glutamate-ammonia ligase activity","MF"
"295","K20712","K20712","GO:0006807","nitrogen compound metabolic process","BP"
"296","K20712","K20712","GO:0003824","catalytic activity","MF"
"297","K03587","K03587","GO:0008658","penicillin binding","MF"
"298","K03587","K03587","GO:0016021","integral component of membrane","CC"
"299","K06504","K06504","GO:0016020","membrane","CC"
"300","K06504","K06504","GO:0016021","integral component of membrane","CC"
"301","K22451","K22451","GO:0005975","carbohydrate metabolic process","BP"
"302","K22451","K22451","GO:0003824","catalytic activity","MF"
"303","K18244","K18244","GO:0016627","oxidoreductase activity, acting on the CH-CH group of donors","MF"
"304","K18244","K18244","GO:0050660","flavin adenine dinucleotide binding","MF"
"305","K13614","K13614","GO:0031177","phosphopantetheine binding","MF"
"306","K13614","K13614","GO:0016746","transferase activity, transferring acyl groups","MF"
"307","K19294","K19294","GO:0042121","alginic acid biosynthetic process","BP"
"308","K19294","K19294","GO:0016746","transferase activity, transferring acyl groups","MF"
"309","K19294","K19294","GO:0005886","plasma membrane","CC"
"310","K19294","K19294","GO:0016021","integral component of membrane","CC"
"311","K17872","K17872","GO:0016491","oxidoreductase activity","MF"
"312","K03657","K03657","GO:0003677","DNA binding","MF"
"313","K03657","K03657","GO:0003678","DNA helicase activity","MF"
"314","K03657","K03657","GO:0005524","ATP binding","MF"
"315","K03657","K03657","GO:0006268","DNA unwinding involved in DNA replication","BP"
"316","K03657","K03657","GO:0016787","hydrolase activity","MF"
"317","K03657","K03657","GO:0005737","cytoplasm","CC"
"318","K19781","K19781","GO:0032508","DNA duplex unwinding","BP"
"319","K19781","K19781","GO:0000166","nucleotide binding","MF"
"320","K19781","K19781","GO:0003677","DNA binding","MF"
"321","K19781","K19781","GO:0003678","DNA helicase activity","MF"
"322","K19781","K19781","GO:0004386","helicase activity","MF"
"323","K19781","K19781","GO:0005524","ATP binding","MF"
"324","K19781","K19781","GO:0140603",NA,NA
"325","K00558","K00558","GO:0008168","methyltransferase activity","MF"
"326","K00558","K00558","GO:0009307","DNA restriction-modification system","BP"
"327","K00558","K00558","GO:0090116","C-5 methylation of cytosine","BP"
"328","K00558","K00558","GO:0003886","DNA (cytosine-5-)-methyltransferase activity","MF"
"329","K00558","K00558","GO:0006304","DNA modification","BP"
"330","K00558","K00558","GO:0032259","methylation","BP"
"331","K19449","K19449","GO:0003677","DNA binding","MF"
"332","K07391","K07391","GO:0005524","ATP binding","MF"
"333","K03592","K03592","GO:0006508","proteolysis","BP"
"334","K03592","K03592","GO:0008237","metallopeptidase activity","MF"
"335","K06985","K06985","GO:0006508","proteolysis","BP"
"336","K06985","K06985","GO:0004190","aspartic-type endopeptidase activity","MF"
"337","K06985","K06985","GO:0005515","protein binding","MF"
"338","K06985","K06985","GO:0008233","peptidase activity","MF"
"339","K16247","K16247","GO:0005515","protein binding","MF"
"340","K16247","K16247","GO:0043531","ADP binding","MF"
"341","K00784","K00784","GO:0042779","tRNA 3'-trailer cleavage","BP"
"342","K00784","K00784","GO:0016891","endoribonuclease activity, producing 5'-phosphomonoesters","MF"
"343","K01649","K01649","GO:0009098","leucine biosynthetic process","BP"
"344","K01649","K01649","GO:0003852","2-isopropylmalate synthase activity","MF"
"345","K01649","K01649","GO:0003824","catalytic activity","MF"
"346","K01649","K01649","GO:0019752","carboxylic acid metabolic process","BP"
"347","K01649","K01649","GO:0046912","transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer","MF"
"348","K03408","K03408","GO:0006935","chemotaxis","BP"
"349","K03408","K03408","GO:0007165","signal transduction","BP"
"350","K06596","K06596","GO:0000160","phosphorelay signal transduction system","BP"
"351","K06596","K06596","GO:0006935","chemotaxis","BP"
"352","K06596","K06596","GO:0016310","phosphorylation","BP"
"353","K06596","K06596","GO:0000155","phosphorelay sensor kinase activity","MF"
"354","K06596","K06596","GO:0005737","cytoplasm","CC"
"355","K06596","K06596","GO:0007165","signal transduction","BP"
"356","K06596","K06596","GO:0004673","protein histidine kinase activity","MF"
"357","K06596","K06596","GO:0016772","transferase activity, transferring phosphorus-containing groups","MF"
"358","K11526","K11526","GO:0000160","phosphorelay signal transduction system","BP"
"359","K11526","K11526","GO:0006935","chemotaxis","BP"
"360","K11526","K11526","GO:0016310","phosphorylation","BP"
"361","K11526","K11526","GO:0016772","transferase activity, transferring phosphorus-containing groups","MF"
"362","K11526","K11526","GO:0007165","signal transduction","BP"
"363","K11526","K11526","GO:0000155","phosphorelay sensor kinase activity","MF"
"364","K11526","K11526","GO:0005737","cytoplasm","CC"
"365","K11526","K11526","GO:0004673","protein histidine kinase activity","MF"
"366","K02660","K02660","GO:0007165","signal transduction","BP"
"367","K02660","K02660","GO:0016021","integral component of membrane","CC"
"368","K02660","K02660","GO:0016020","membrane","CC"
"369","K02660","K02660","GO:0016310","phosphorylation","BP"
"370","K02660","K02660","GO:0016301","kinase activity","MF"
"371","K02660","K02660","GO:0006935","chemotaxis","BP"
"372","K02660","K02660","GO:0004888","transmembrane signaling receptor activity","MF"
"373","K02660","K02660","GO:0005515","protein binding","MF"
"374","K23222","K23222","GO:0046872","metal ion binding","MF"
"375","K07718","K07718","GO:0006935","chemotaxis","BP"
"376","K07718","K07718","GO:0007165","signal transduction","BP"
"377","K07718","K07718","GO:0018298","protein-chromophore linkage","BP"
"378","K07718","K07718","GO:0004888","transmembrane signaling receptor activity","MF"
"379","K07718","K07718","GO:0005886","plasma membrane","CC"
"380","K07718","K07718","GO:0016020","membrane","CC"
"381","K07718","K07718","GO:0016021","integral component of membrane","CC"
"382","K02659","K02659","GO:0006935","chemotaxis","BP"
"383","K02659","K02659","GO:0007165","signal transduction","BP"
"384","K02658","K02658","GO:0000160","phosphorelay signal transduction system","BP"
"385","K02657","K02657","GO:0000160","phosphorelay signal transduction system","BP"
"386","K02657","K02657","GO:0016310","phosphorylation","BP"
"387","K02657","K02657","GO:0016301","kinase activity","MF"
"388","K01563","K01563","GO:0003824","catalytic activity","MF"
"389","K14331","K14331","GO:0009924","octadecanal decarbonylase activity","MF"
"390","K14331","K14331","GO:0046914","transition metal ion binding","MF"
"391","K14331","K14331","GO:1990465","aldehyde oxygenase (deformylating) activity","MF"
"392","K14331","K14331","GO:0071771","aldehyde decarbonylase activity","MF"
"393","K07497","K07497","GO:0015074","DNA integration","BP"
"394","K07497","K07497","GO:0003676","nucleic acid binding","MF"
"395","K03530","K03530","GO:0003677","DNA binding","MF"
"396","K03552","K03552","GO:0003676","nucleic acid binding","MF"
"397","K03552","K03552","GO:0004518","nuclease activity","MF"
"398","K09952","K09952","GO:0003676","nucleic acid binding","MF"
"399","K09952","K09952","GO:0004519","endonuclease activity","MF"
"400","K09952","K09952","GO:0090305","nucleic acid phosphodiester bond hydrolysis","BP"
"401","K09454","K09454","GO:0006313","transposition, DNA-mediated","BP"
"402","K09454","K09454","GO:0003677","DNA binding","MF"
"403","K09454","K09454","GO:0004803","transposase activity","MF"
"404","K01185","K01185","GO:0009253","peptidoglycan catabolic process","BP"
"405","K01185","K01185","GO:0016998","cell wall macromolecule catabolic process","BP"
"406","K01185","K01185","GO:0019835","cytolysis","BP"
"407","K01185","K01185","GO:0003796","lysozyme activity","MF"
"408","K01185","K01185","GO:0030430","host cell cytoplasm","CC"
"409","K01185","K01185","GO:0042742","defense response to bacterium","BP"
"410","K02035","K02035","GO:0055085","transmembrane transport","BP"
"411","K02035","K02035","GO:0043190","ATP-binding cassette (ABC) transporter complex","CC"
"412","K02033","K02033","GO:0055085","transmembrane transport","BP"
"413","K02033","K02033","GO:0005886","plasma membrane","CC"
"414","K02033","K02033","GO:0016021","integral component of membrane","CC"
"415","K02033","K02033","GO:0016020","membrane","CC"
"416","K07491","K07491","GO:0006313","transposition, DNA-mediated","BP"
"417","K07491","K07491","GO:0003677","DNA binding","MF"
"418","K07491","K07491","GO:0004803","transposase activity","MF"
"419","K08884","K08884","GO:0006468","protein phosphorylation","BP"
"420","K08884","K08884","GO:0004713","protein tyrosine kinase activity","MF"
"421","K08884","K08884","GO:0005524","ATP binding","MF"
"422","K08884","K08884","GO:0004672","protein kinase activity","MF"
"423","K08884","K08884","GO:0106310","protein serine kinase activity","MF"
"424","K08884","K08884","GO:0106311","protein threonine kinase activity","MF"
"425","K08884","K08884","GO:0005515","protein binding","MF"
"426","K08884","K08884","GO:0016021","integral component of membrane","CC"
"427","K08884","K08884","GO:0004674","protein serine/threonine kinase activity","MF"
"428","K08757","K08757","GO:0016020","membrane","CC"
"429","K08757","K08757","GO:0016021","integral component of membrane","CC"
"430","K02433","K02433","GO:0006412","translation","BP"
"431","K02433","K02433","GO:0005524","ATP binding","MF"
"432","K02433","K02433","GO:0016740","transferase activity","MF"
"433","K02433","K02433","GO:0050567","glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity","MF"
